RewardID,CardNumber,Reward_points_balance,Reward_points_consumed,ExpiryDate
10062,5390003592,4199,2017,2025-02-03 04:29:58.878141
63651,6304567630,298,80,2024-08-13 10:12:09.250304
23150,3582624513,6969,5009,2024-09-19 05:09:25.446506
72999,3475550872,6356,4610,2024-11-14 13:07:05.213820
99035,4513879493,6207,1410,2025-01-15 22:58:21.621363
98103,8046682746,7650,5804,2024-12-14 05:47:32.368456
661,3369494064,7949,5745,2025-02-09 15:19:06.884523
50824,6569719012,6404,2367,2024-10-27 07:32:47.178474
14196,3745350991,5358,3784,2025-04-15 21:31:53.121002
554,1933633593,6050,316,2024-12-15 05:16:00.566403
53628,7938314187,2348,1927,2024-08-01 20:06:53.456666
45342,5855455682,2685,2440,2024-06-08 18:47:20.289050
8255,2819336546,1130,271,2024-05-22 03:11:45.325545
72864,1394002742,3013,2701,2024-09-13 16:27:39.844095
67721,4971024382,4273,1008,2024-06-18 17:24:53.049248
49489,9381628696,595,289,2024-06-03 12:55:15.035374
75545,3987931665,8143,3168,2025-03-07 03:20:38.793562
63331,7451813505,5063,1960,2024-04-29 13:54:30.522843
84644,9725406020,1505,1032,2025-01-15 09:41:32.241612
1760,7977483953,7092,433,2024-08-29 06:07:41.730989
22781,7287452779,8255,1925,2024-09-27 08:59:12.704628
8540,6398951613,3711,840,2025-03-15 03:29:20.302359
9541,4674806745,1393,323,2024-11-04 20:41:22.973820
57141,3053775174,8555,376,2024-06-07 08:20:22.269505
37711,7224744404,4687,458,2024-05-08 21:32:10.419614
86164,2743510296,1570,1508,2024-10-06 04:30:46.058143
37435,9370438273,7294,4542,2025-03-22 03:48:27.534842
93199,7539096762,429,426,2024-08-07 12:13:21.233119
79005,1493086251,5945,5443,2024-04-30 03:35:52.500431
5076,3983497506,8608,4054,2024-10-03 03:11:14.885831
37316,5851243850,9401,1797,2024-07-27 21:02:45.012574
67590,1855072384,9875,5309,2024-11-03 19:00:24.411183
9464,3313695882,8269,6555,2025-02-10 00:57:53.043698
49743,8303782961,3902,1799,2024-07-05 08:49:25.840076
26674,9419436743,8180,286,2025-04-14 13:43:22.066201
24496,4739231497,9510,4276,2024-08-21 21:54:14.287225
53703,9337378878,5546,1844,2024-10-04 06:05:39.802989
55948,6430962919,9658,8853,2025-03-20 21:41:42.783177
30183,4202586838,4982,107,2024-08-12 21:44:48.089924
34310,3389210737,9946,5080,2025-03-28 23:12:39.776193
63147,1336691327,925,665,2024-11-14 07:12:04.412981
75087,5363904691,774,584,2024-11-27 02:21:53.113123
16307,8816654619,8785,4652,2024-09-07 11:37:10.422666
74165,2027257406,3281,2841,2024-05-29 12:43:11.140237
94552,8819332689,8436,3633,2025-01-08 14:24:31.123646
64341,3865497934,6955,1450,2024-07-28 10:39:27.682110
56105,2875394759,6872,1187,2024-10-15 09:42:35.116157
92982,4206730656,4293,970,2025-01-12 05:59:49.100122
51018,5706268081,9459,7252,2025-04-23 15:23:19.246703
39431,4962218214,7876,6925,2024-05-07 20:34:07.069961
7007,2471078972,951,426,2025-03-04 22:12:55.253312
55739,9357073597,4921,4483,2025-01-22 15:33:09.691342
61416,9794840419,5860,5200,2024-10-19 05:02:44.112891
96952,2060187049,7933,1257,2025-01-01 11:43:27.118633
40706,7514478393,1999,1517,2024-12-20 09:12:02.894060
7453,8749819681,6047,5309,2024-08-12 10:43:30.916700
72425,9872480471,8888,8566,2024-12-02 09:22:09.922529
83309,1444947312,7073,3080,2024-12-14 05:40:10.507962
88458,6947311975,963,166,2024-09-20 00:00:29.444393
66353,3829219398,8498,2203,2024-11-01 00:22:05.317685
25382,5431529449,3493,2635,2025-01-21 17:38:27.163286
31515,4416788393,1475,402,2024-10-28 03:11:41.501512
86714,1659838338,1965,1678,2024-08-23 23:52:34.280078
7931,5420709592,1278,265,2024-06-17 21:37:12.788649
18606,1877996948,7215,4211,2024-09-13 11:38:17.483309
56474,3260764512,6961,1805,2024-06-21 02:47:15.864688
28938,3993869667,2375,38,2025-04-05 20:30:34.599530
56989,5682143096,4146,3667,2024-12-07 04:29:42.711916
39875,6153960963,3445,2841,2024-09-05 13:55:56.728753
36923,5983349557,4038,410,2024-09-07 09:13:27.461287
57195,3929153485,9001,7023,2024-12-17 17:34:47.935075
21314,8533314629,3841,1863,2024-06-12 01:08:37.152118
17440,3050441041,3810,3158,2024-06-20 22:26:07.631125
63461,1240805880,9666,3711,2025-02-03 16:44:35.881508
80600,2954914450,2374,968,2024-05-13 08:40:19.878387
30207,5229367824,5169,4671,2024-06-05 00:01:27.645421
69127,8104989976,9755,8908,2024-12-25 21:44:02.619130
60056,2631131123,8276,3916,2025-04-22 07:54:19.323875
16002,1219555170,2468,468,2024-11-17 16:06:11.313719
69989,1337147286,6446,493,2024-12-18 06:15:50.355192
53825,9724996353,2420,805,2025-02-24 12:19:35.849151
79233,3196111933,8934,136,2024-05-02 15:54:50.072968
13171,4859036048,9325,1270,2025-03-24 18:35:17.304211
18109,9037310212,1889,842,2024-10-18 09:04:51.350022
53062,7563736800,7673,408,2025-04-23 01:06:32.142857
90215,1497643951,6961,5246,2025-01-01 00:19:12.396810
2102,1884035846,2231,1640,2024-05-19 19:17:11.585469
4226,8245096658,8330,7685,2025-03-11 06:50:53.787720
14231,2524887905,8092,5095,2024-11-04 04:09:45.322718
93989,6039432683,9784,668,2024-04-29 07:02:00.670039
7464,5521695800,6901,5404,2024-05-04 09:28:02.592462
88001,3971457114,207,85,2024-11-10 09:57:52.843581
65542,6792297662,3454,3288,2024-07-08 02:24:56.410005
29108,7051948045,3354,2124,2024-06-03 08:28:15.647982
44661,7051308113,9212,1383,2024-08-25 00:09:45.627817
63009,5551537285,3376,371,2024-12-14 10:02:16.306099
1167,1261218884,6845,829,2025-02-14 23:55:42.519983
97297,1194868742,9039,8065,2024-07-08 13:12:44.826752
49565,5745876021,2080,284,2024-11-17 17:33:07.185373
63834,4666501840,2703,1928,2025-04-10 09:25:31.305248
92696,6467453755,4929,261,2025-01-20 16:11:42.225512
67163,2360613426,3936,508,2024-12-26 18:19:39.826399
32189,9347044031,3398,2695,2024-12-21 20:13:42.977892
16923,4578401418,5749,3459,2024-12-01 08:02:45.900299
89354,7961934394,2416,953,2025-02-22 12:39:55.866689
23060,2906795106,7759,7603,2025-02-07 14:04:16.056273
43398,9512498274,4374,2223,2024-06-13 11:06:29.052020
55218,2952344274,4981,3678,2024-05-15 11:27:40.544504
1642,1292129626,5564,1575,2025-04-18 20:20:08.600245
87922,9024370232,5558,4132,2024-10-20 05:27:16.605804
78836,6696049287,4264,3850,2025-04-05 05:19:00.042001
79947,1539113752,1151,405,2024-07-14 12:10:08.448283
32908,9832212004,440,145,2025-02-28 20:09:08.042563
41138,2131896805,5108,1673,2024-05-22 03:21:49.911138
20284,4765273755,6330,116,2025-01-19 09:26:17.467762
74067,2280820183,3239,780,2025-02-20 06:18:43.351966
36568,4773088485,5205,1794,2024-05-21 18:13:19.630057
98920,6739357863,8976,1070,2025-01-27 11:59:09.939643
80657,3960650290,5380,2895,2024-11-08 09:23:45.001380
31670,6303411126,9775,7925,2025-02-17 12:58:38.269231
49779,2124958521,169,168,2024-12-13 01:19:35.441387
16570,9015228990,2579,153,2024-12-25 19:31:28.704492
35284,1617103225,9717,4590,2024-05-16 05:33:06.864446
50600,1939295118,7559,7498,2024-05-14 19:39:47.679409
1813,5888434918,2174,334,2025-02-08 16:00:29.009073
35499,9526922905,8330,2345,2024-06-28 03:22:49.987640
53375,8915470343,6749,6054,2024-10-08 16:31:09.620599
4421,9677977811,9228,7792,2024-08-31 05:55:51.435989
42705,3450696617,1990,1156,2024-09-26 22:56:12.264619
93735,3570900381,9805,1661,2024-11-20 02:12:39.137053
14848,6821586005,5934,5017,2025-04-06 09:57:01.554800
84935,1540180995,7393,933,2025-04-24 19:44:44.957885
54326,5789989153,1607,412,2024-09-10 12:54:01.454275
97352,6821690106,1353,1191,2024-09-05 08:17:20.519925
66549,4934566429,1669,1141,2024-08-01 14:10:38.159458
17758,7636874752,8565,8528,2025-03-08 13:34:53.455637
47364,7739504624,336,182,2025-03-17 02:56:07.474243
63409,8187212860,5575,5402,2025-02-11 15:10:43.722788
20370,5033860131,8119,6930,2024-08-13 17:39:10.930046
10963,4964157844,2659,102,2025-02-20 23:16:30.098701
84944,7559031910,3563,371,2024-12-22 23:01:38.440894
65378,8249531614,3246,410,2025-02-24 21:18:35.120230
48571,1235716356,7737,37,2024-07-23 20:23:36.405067
69453,5248222668,2563,192,2025-03-11 18:20:47.036349
92717,8958304304,3103,196,2024-09-20 12:43:37.968612
87341,4973706201,3270,1395,2025-01-14 10:44:55.626751
56014,3601915245,7030,949,2025-02-17 03:58:48.894244
74261,1089261345,4195,2163,2025-03-14 08:22:45.638251
35668,3021553490,742,15,2024-08-08 19:35:23.269521
27753,4278160747,5033,3858,2024-09-21 18:56:40.286383
69880,7052125927,9661,3610,2024-12-01 23:01:56.139152
24479,1862439932,4554,3607,2024-06-16 10:57:03.004798
99549,3923022068,4491,2125,2024-10-10 21:39:48.802613
40333,6321424783,6044,2849,2025-03-07 20:07:09.714776
58988,9977135049,4827,4181,2025-01-18 07:07:00.546371
5925,8098714516,5015,1666,2024-12-16 21:07:31.226485
87847,2832233529,7199,3408,2025-03-22 16:23:57.473786
65882,5626909963,3933,3778,2024-08-27 11:46:51.327835
14049,1704302735,7334,3981,2025-04-09 23:20:07.585352
77383,2452371218,5197,481,2024-11-15 18:04:45.163422
44606,3728501970,2195,788,2025-02-20 19:46:59.988302
95916,8804882435,8210,1089,2025-03-10 03:18:51.306879
88679,2309083844,453,250,2025-03-10 11:20:31.336592
92,5827320955,1120,544,2024-05-08 06:21:50.031375
3340,5615274840,7283,2680,2025-03-13 17:55:56.241823
39122,7570184664,3480,610,2024-10-10 19:00:03.553153
12192,6378571373,9073,1668,2024-12-22 22:28:41.478255
54378,2839511761,439,271,2025-03-11 14:11:18.707386
97975,5762716417,942,843,2025-02-12 07:42:09.156719
36357,5263058341,7322,6211,2024-12-11 12:04:08.746538
28492,9379779504,2380,2223,2024-09-30 02:30:42.758485
94200,2891332492,2073,1445,2025-04-22 18:15:41.790393
81508,5605475249,4840,2089,2025-02-25 17:20:09.268367
75367,8049485558,4782,2022,2025-03-05 04:29:21.768764
62766,7522180967,9023,3874,2025-03-22 11:13:45.130869
81769,5995606997,2036,1541,2024-12-19 20:54:30.075345
71939,5219942024,8305,4213,2025-03-10 06:48:43.712203
28256,3644266114,3631,3142,2024-06-03 11:09:42.830277
21490,6808622966,3556,273,2025-01-16 09:17:42.473467
42212,6972582333,59,59,2024-10-18 22:09:00.620497
77997,9203505598,5476,13,2025-04-20 01:46:54.521695
19640,4278515493,311,307,2024-06-08 11:32:04.037967
15249,4925264598,2838,2752,2024-08-18 22:56:21.446566
29044,2433091808,5009,2702,2025-01-09 02:55:02.031059
91904,7095941897,6266,178,2024-07-27 16:46:29.906261
37392,1325048594,3420,2175,2024-04-30 12:49:21.244293
38900,9012399423,7530,4676,2024-08-31 05:17:39.491018
86236,2713649655,5576,1194,2024-07-20 20:01:40.632429
69498,5017370020,2821,7,2025-04-26 18:03:54.359149
25510,6196907342,9720,9220,2024-12-24 11:45:34.064096
46389,2128452116,4596,4083,2024-08-12 17:12:01.842236
80237,4497739065,8973,3238,2024-08-25 23:45:58.058513
94542,4456129500,7065,2237,2025-04-18 21:33:05.949897
96836,4341069259,3587,291,2024-05-25 18:52:57.188595
17375,8733865999,2276,1007,2024-10-12 08:50:27.943266
80435,5838685472,5963,97,2024-10-19 07:15:47.510647
79862,5271768209,8070,4124,2024-09-23 03:35:00.303252
86102,9040488833,4121,1086,2024-10-10 03:25:47.422111
26777,6684805686,1322,735,2024-10-19 02:52:17.304248
58210,8784443232,7454,5768,2024-08-29 19:30:08.537232
76286,3558205370,482,348,2024-06-30 18:20:24.896037
78223,1158363333,9064,3379,2024-05-27 17:06:26.743514
98738,4846267979,4907,3172,2024-09-08 21:58:28.183713
41159,2037084962,3693,481,2024-11-12 23:24:49.439836
91637,7206637345,6550,3460,2024-06-14 22:53:40.578065
71553,1090686741,2176,742,2024-12-26 23:19:18.687698
39365,4586211462,6340,2802,2024-11-11 16:29:45.063501
85597,6380464441,6754,4573,2024-05-20 14:55:20.798478
35207,7883027647,1346,231,2025-03-03 04:03:32.688854
23742,2272147355,3969,1601,2024-10-13 22:49:46.992950
14097,1026085935,4061,1879,2024-10-16 23:56:17.127443
97699,1660416565,6444,449,2025-02-16 22:13:40.606883
88841,5870878867,5566,2300,2024-05-27 18:27:07.920930
12424,6109165587,1975,1464,2024-09-22 11:07:38.335730
9470,6474988052,4879,1629,2024-09-26 16:47:48.895661
87198,9299923513,5543,4769,2025-01-04 22:00:43.028753
13681,6035167023,7376,1,2024-05-08 09:49:11.552170
96382,6589599700,4837,3569,2025-02-13 07:35:26.640248
84319,2099654733,4844,3080,2024-09-08 07:50:18.627628
19280,2659369889,253,74,2024-10-11 01:22:03.597314
85916,4085178512,6008,3108,2024-05-06 11:32:47.616244
81950,4956753691,4656,3949,2025-04-25 23:02:34.819004
38941,3336637327,7426,7200,2025-03-27 05:30:43.079190
84562,5699251132,3836,1917,2025-02-21 05:41:10.970361
21925,5369820447,195,162,2024-07-06 04:27:33.109479
83837,5943399054,7059,5082,2024-05-20 20:38:38.639560
68315,3974433424,7360,7181,2024-06-19 02:50:33.989846
87430,6809585622,9473,4948,2024-08-07 17:46:22.408130
32771,6671649887,4112,879,2025-02-17 23:48:31.503860
55249,1742669950,8291,2748,2024-08-02 13:57:53.020766
27123,2426839312,1926,1248,2024-10-18 21:22:41.172579
34891,9756186649,4167,3437,2025-03-28 18:52:27.809520
63400,9380622531,5078,502,2024-05-07 23:15:56.915240
82005,1878866713,2131,760,2024-08-19 08:47:27.294481
43442,5929889033,6298,540,2025-04-16 01:33:40.410097
61851,6223338645,890,4,2024-11-12 13:01:18.619945
11092,5471717572,1152,614,2024-04-30 12:03:23.149189
35680,5392296662,3391,1015,2024-06-01 07:27:38.409862
27766,5342481681,1241,314,2025-03-17 00:10:05.431631
84426,1311566169,2557,2463,2024-12-08 20:18:13.239116
2123,1577394917,6007,1319,2024-08-25 02:47:53.602858
48365,2945139794,4943,26,2025-04-04 07:16:10.283884
35845,4294524710,1607,585,2024-10-31 21:02:18.790122
18616,7785803994,7432,438,2024-10-30 22:57:31.596992
35235,9365692079,9089,4976,2025-04-17 11:28:17.312271
75079,4439162594,4754,4441,2025-03-13 15:15:11.919177
76590,9533199834,7447,5683,2024-09-11 06:29:13.662068
94255,2717495026,5068,2252,2024-08-25 11:53:40.816108
19665,1182682176,3494,1645,2024-08-06 17:00:17.722668
40639,3368575468,7296,6067,2024-05-13 05:28:08.728091
93642,1599239024,1382,857,2024-10-16 16:38:02.688122
17184,2402085294,8403,6528,2024-05-27 16:58:39.641262
87576,5534889226,7425,3041,2024-06-02 18:30:15.596865
96809,4628913078,6619,6237,2025-01-11 19:21:17.828184
54770,1320020222,8681,6024,2025-03-10 02:09:36.608323
71448,1012561096,9424,6312,2024-10-29 15:37:39.830267
25198,3451399128,2837,2169,2024-07-03 00:59:21.156397
49324,4732484726,3081,32,2024-12-13 14:07:34.277074
33276,5527609208,7154,1703,2025-01-27 15:55:46.637754
88906,1893690030,5020,3163,2024-10-30 06:20:45.111807
55468,6248115045,3805,2926,2024-07-17 00:09:26.352087
19793,4289349337,6253,2807,2024-07-29 06:47:46.822142
78808,9768995960,4462,3746,2024-11-20 00:52:21.398383
6907,3519457700,3653,3653,2024-12-22 11:51:58.982668
61866,5440397823,5623,3512,2024-09-01 08:04:06.916683
6869,3096940427,1163,1023,2024-12-21 19:03:48.173818
85092,9934830836,2676,1271,2024-12-08 00:51:50.837130
58773,1062833795,9857,3943,2024-09-19 18:02:06.841221
36514,8318661902,9561,5489,2025-02-21 02:48:12.665842
63670,1944234832,6511,5081,2024-06-13 18:20:00.466267
83660,8499212543,3513,349,2025-04-10 06:40:13.251933
20048,2587721751,6376,5473,2024-06-09 11:00:55.951368
55068,4876044422,5530,677,2025-01-02 10:20:48.859463
36583,7332207083,1821,166,2025-03-11 22:00:48.908585
8812,6681407630,4916,2835,2025-02-24 19:37:40.675845
11033,3269082455,7297,6838,2024-05-11 11:36:14.558704
81750,2044073503,425,379,2024-11-06 04:38:27.023451
28088,4195426469,4379,3634,2024-11-19 12:52:50.484693
99490,4230567911,2566,2421,2025-01-02 09:06:35.558956
56125,9945314748,2267,787,2024-06-25 19:34:52.805822
33037,9994967188,3264,2845,2024-05-31 03:42:00.893910
58136,7448380497,4311,1683,2025-03-18 11:11:00.513656
48082,8859427488,3512,2352,2024-09-01 15:21:53.561724
71530,7311557005,3732,805,2024-12-26 12:50:51.559532
16898,2610223002,7017,3469,2024-06-06 00:48:22.195153
95444,7005913885,8728,8097,2024-07-24 06:01:49.766117
7791,3690281778,6047,1186,2024-11-20 14:12:10.995252
31083,2828136773,8936,3708,2024-05-19 09:58:33.096273
89283,7547782492,657,177,2024-07-15 16:48:12.808840
45570,1812691264,8948,8372,2025-01-22 18:21:27.935147
98442,9439037504,3730,1810,2024-09-10 20:45:48.444914
3988,4273136527,8792,8755,2024-12-04 02:26:06.587038
68548,9958096794,8924,6259,2024-07-19 17:14:40.809074
97442,1695998954,9041,8880,2024-11-11 06:07:30.379428
93041,6052663592,5824,5663,2024-09-15 11:16:46.511284
63102,1563186130,6954,5780,2024-11-21 15:37:27.097063
2004,7001572947,2434,1421,2024-07-03 23:38:44.770815
53128,8122408547,5743,848,2025-04-23 23:01:17.056744
87435,3641944412,4127,244,2024-09-12 09:01:38.759718
