SupportTicketID,Client_num,IssueType,Status,SupportTicket_date,Assigned_to
494400,28571033,Technical,Closed,2023-08-25 22:51:42.330425,Regina Chavez
850365,67203927,Billing,Open,2023-06-08 05:43:55.868474,James Howard
43289,12170410,Billing,In Progress,2023-11-21 20:43:20.184538,April Brown DVM
570744,90420352,Technical,In Progress,2024-04-09 10:20:51.026279,Ronald Andersen
922130,71067735,General,Open,2024-02-14 22:45:46.414613,Brandy Higgins
730186,38459666,General,Open,2023-07-06 23:12:19.925539,Melanie Miller
217011,66286547,General,In Progress,2023-05-05 03:12:45.386915,Christopher Perry
114610,59066477,General,In Progress,2023-08-29 16:38:06.654969,Lynn York
495324,73853110,General,Open,2023-06-23 07:24:54.407334,Mariah Williams
512499,85638266,Billing,In Progress,2023-07-24 00:34:09.828885,Matthew Rodriguez
198276,89786590,Technical,In Progress,2023-08-12 06:47:36.678596,Lynn Little
164682,96162366,Technical,In Progress,2023-06-01 21:17:34.267315,David Wilson
405767,32234093,Technical,Closed,2023-07-28 01:53:01.674991,Laurie Perez
392327,69755185,Billing,Open,2023-09-07 13:00:52.084738,Brandy Stephens
385398,46551921,Technical,Open,2023-10-11 05:17:26.565296,Jeffrey Simpson
789705,24596580,Technical,In Progress,2023-09-18 17:18:09.781851,Melissa Knight
912542,36128821,Billing,Open,2023-05-04 04:13:11.730782,Elizabeth Hall
329854,65312114,General,In Progress,2024-04-03 04:03:21.876119,Mary Cordova
43916,61009266,Billing,Open,2023-12-09 14:51:31.025591,Shannon Jones
830667,32537788,Technical,Open,2023-12-15 11:49:47.850851,Bryan Miller
510080,84981269,General,Closed,2024-03-29 20:19:12.924819,Gregory Hernandez
148326,36695820,Technical,Open,2024-03-10 05:35:41.921765,Jason Maddox
655284,64853743,General,Closed,2024-04-16 19:58:09.993748,Jeffery Shaffer
146057,83956389,General,Closed,2023-07-22 05:16:40.587151,Linda Becker
354060,35270699,Billing,Closed,2023-07-18 11:39:25.887785,Stephen Coffey
341391,99977330,Billing,Closed,2023-06-23 08:44:33.518588,Victoria Hernandez
855923,31436119,General,Open,2023-07-21 18:55:12.552758,Kyle Serrano
685243,54090875,General,Closed,2023-06-16 10:46:08.688213,Samuel Bush
215247,30795548,Billing,In Progress,2024-04-10 18:40:00.698889,Misty Gordon
41373,73360052,Technical,In Progress,2023-11-19 02:08:28.555754,Anna Richards
288951,93512525,Technical,Open,2023-09-02 00:51:59.059956,Herbert Munoz
132069,32161401,Billing,Closed,2024-04-02 06:50:04.775573,William Cummings
914642,66667242,Billing,Closed,2023-09-29 09:10:04.206106,Joy Johns
706350,25194617,Billing,Open,2023-09-19 10:16:17.002443,Leslie Wilson
44714,18072220,Billing,Open,2023-06-28 19:49:54.776788,Lisa Higgins
517143,77871428,Billing,In Progress,2023-05-23 12:25:34.978084,Paula Gibson
791197,33500502,Billing,In Progress,2023-12-12 10:12:27.342948,Christopher Waters
549107,10953132,General,In Progress,2024-03-30 01:55:47.425350,April Ramirez
649430,63317203,Billing,Open,2023-05-18 12:32:25.387468,Harry Miller
147401,34809769,General,In Progress,2023-08-11 00:46:31.583089,Cheyenne Hicks
580973,53041949,Billing,Closed,2023-05-07 11:23:59.738581,Jacob Ramirez
46547,88883497,Technical,In Progress,2024-03-23 16:16:24.916866,Rachel Benjamin
231475,71948191,Billing,In Progress,2023-06-06 12:28:05.160826,Stacey Villegas
267753,45773515,Technical,In Progress,2024-03-22 08:48:51.307383,David Long
639834,23562499,Technical,Closed,2024-01-13 16:52:38.099406,Brian Nelson Jr.
194876,62300669,Technical,Closed,2023-10-10 06:56:29.602048,Krista Kim
23143,39629830,General,Open,2023-06-22 23:42:59.433452,Emily Johnson
397941,85361865,Billing,In Progress,2023-11-03 05:38:47.566517,Justin Gibson
855694,38861165,Technical,Open,2023-07-19 17:27:29.457757,Terry Turner
198650,79422560,Billing,Closed,2023-09-11 21:34:27.882735,Elaine Perez
123736,96646603,General,Closed,2023-11-08 16:13:32.922223,Kathleen Wilkinson
176865,51363379,General,In Progress,2024-03-14 16:21:22.081489,Mr. William Campbell
881757,88338236,Technical,Closed,2023-06-22 21:08:15.250303,Rachel Tran
44908,34929299,General,Open,2023-07-15 20:39:46.674363,Michelle Young
876546,21258825,Technical,Closed,2023-09-23 07:24:41.823730,Bryan Ingram
615709,10284935,General,Open,2023-05-24 12:31:49.787097,Michelle Rosales
135546,40676745,Billing,Closed,2023-05-04 17:51:40.654476,Jason Jenkins
770602,40724913,Billing,In Progress,2024-03-18 14:02:01.208820,Aaron Herrera
43258,62530263,Billing,Closed,2024-04-05 13:05:29.168076,Rachel Harding DVM
432986,69981391,Technical,Open,2024-01-20 18:46:50.656272,Lynn Dickerson
360855,83773016,Technical,Open,2023-08-08 10:50:29.125172,Jennifer Alvarado
188937,68775916,Billing,In Progress,2023-05-27 18:24:47.594521,Michael Gray
36992,63809743,Billing,In Progress,2023-06-29 22:46:11.532746,Dawn Johnson
702264,60305817,General,Closed,2023-12-16 16:53:39.996428,Kristina Chapman
489726,33360480,Billing,In Progress,2024-01-04 13:22:25.632002,Tracey Allen
525529,94178357,Technical,Open,2023-09-30 04:03:18.998618,Ian Garcia
306625,87210332,General,Open,2023-07-20 15:53:11.088525,Cynthia Le
730801,85307807,Billing,In Progress,2023-08-23 19:17:16.534093,Whitney Robertson
41554,60116779,Technical,Closed,2024-03-06 08:17:52.507540,Yvonne Rush
809218,98017001,Technical,Open,2024-04-15 01:11:32.529655,Michael Foley
668826,90759152,Technical,Open,2023-10-04 03:55:43.898466,Catherine Flores
94682,69093887,General,In Progress,2023-08-09 22:10:26.743829,Amy Gomez
14089,71302387,Billing,Closed,2023-10-06 21:59:31.189013,Carrie Wells
47978,26167333,Billing,Closed,2023-05-04 07:28:12.302710,Richard Gonzales
452900,90004764,General,Open,2023-09-01 21:13:29.405944,Jodi Henderson
548274,55310535,Technical,Closed,2023-04-29 00:14:18.328325,Laurie Martin
579090,44402704,Technical,Closed,2023-12-28 23:07:29.934168,Michael Arroyo
334167,58365249,Billing,Closed,2024-03-29 07:34:37.950587,Crystal Graham
772025,75860005,Technical,Open,2023-09-27 03:08:21.565548,Aaron Davis
893524,29965647,General,In Progress,2023-07-01 07:32:07.421768,Brooke Stout
650207,85974877,Technical,Closed,2024-01-17 04:26:19.771902,Mark Cooper
956722,76147994,Technical,Closed,2023-10-02 10:07:50.789486,Elizabeth Miller
707999,21017280,Technical,Closed,2023-09-07 14:42:20.473213,Duane Vargas
136671,80815074,Technical,In Progress,2023-05-09 15:51:03.068261,Kyle Nichols
790227,49803145,Technical,In Progress,2023-06-07 09:38:19.498524,John Smith
556419,99945413,Billing,In Progress,2023-07-05 03:30:30.724406,Beth Adams
209948,93813863,General,Closed,2023-08-08 02:09:10.125766,Miss Stephanie Martin
238922,97472166,Technical,In Progress,2024-01-24 03:15:03.233536,Todd Robertson
760557,87967286,Technical,In Progress,2023-10-27 20:50:42.769125,Bianca Doyle
949769,22076747,Billing,Closed,2023-06-20 14:08:06.074683,James Baxter Jr.
786991,50554210,Technical,Open,2024-04-20 21:37:16.529486,David Carter
412374,43033205,General,In Progress,2023-06-01 10:43:48.838634,Rachael Barnes
36408,38684588,Billing,Closed,2024-03-02 14:33:41.283394,Thomas Roberts
35168,71917305,Technical,Closed,2023-09-22 03:38:36.578389,Melissa Wright DDS
468794,80258524,General,Open,2024-02-22 06:51:55.909925,John Taylor
890540,40155167,Technical,Closed,2023-05-06 10:14:08.812358,Devin Romero
798650,94215547,Billing,Closed,2024-04-02 23:37:00.917523,William Gutierrez
871459,34798243,General,In Progress,2023-11-24 19:04:46.563947,Aaron Miller
597427,60659617,General,In Progress,2023-08-13 17:45:49.464703,Ryan Pope
143827,54461173,Billing,Closed,2023-07-23 06:20:10.706478,Yvette Jones
97496,29664132,General,In Progress,2023-05-23 15:32:07.096200,Pamela Wu
969787,39830059,General,In Progress,2023-08-12 10:10:30.124044,John Pineda
931578,67865952,General,Open,2024-03-30 08:14:59.024010,Kyle Walton
624440,40188053,General,Closed,2023-09-26 04:06:29.170897,Paul Strong
321746,46736831,Technical,Closed,2023-12-18 21:02:52.901377,Hayley Stone
815170,46681030,Technical,In Progress,2023-06-23 04:23:09.928497,Aaron Friedman
582766,82829010,Technical,In Progress,2024-04-12 12:04:47.046007,Lisa Harrison
967978,19340967,Billing,Open,2023-09-24 15:26:46.306791,Mrs. Madison Rogers DVM
764491,18674304,Technical,Closed,2023-06-02 15:20:29.069556,Amanda Davis
515796,23112012,General,In Progress,2023-06-27 05:21:05.012844,Sandra Hess
163368,65003221,Technical,In Progress,2023-05-10 05:45:14.916879,Blake Collier
759808,24490721,General,In Progress,2024-03-29 06:46:08.629856,Sean Mclean
170220,27000140,Technical,Open,2023-09-04 09:56:21.079676,William Johnson
131725,14449912,Technical,Open,2024-03-16 00:05:00.495725,Jasmine Holmes
119329,17117461,General,Closed,2024-03-11 02:25:04.952757,Jennifer Walsh
395145,74467004,Technical,Open,2023-06-05 05:50:49.519601,Keith Richardson
232418,31939367,General,In Progress,2023-06-01 21:20:47.923481,Tina White
851701,65359785,Technical,Closed,2024-02-27 16:19:49.874722,Edward Bowers
769510,85296412,Technical,Open,2023-12-28 01:30:55.946801,Robert Kim
544566,27507215,General,In Progress,2023-10-04 00:11:05.984945,Samantha West
413911,94166625,Technical,Closed,2023-05-03 04:24:48.452162,Derek Mendoza
958797,37713541,Technical,In Progress,2024-02-01 19:00:06.595327,David Bridges
518826,74841886,Billing,Open,2023-08-28 03:33:22.741912,Todd Hubbard
859210,27840472,Technical,Open,2023-07-15 05:34:06.441792,Robin Reynolds
665782,78759024,Billing,Closed,2024-03-15 22:33:58.428527,Richard Harper
3070,71002173,General,Closed,2023-10-17 06:19:02.825704,Karen Shea
605945,77831809,General,In Progress,2024-03-10 14:58:02.701214,Julia Zimmerman MD
437424,10126320,Technical,Open,2023-12-01 19:01:05.267655,Alexandra Levy MD
386866,71901763,Billing,Closed,2023-11-28 18:51:06.505549,Julie Marsh DDS
703815,47017480,Billing,In Progress,2024-03-03 18:24:57.980759,Lisa Franklin
916210,12130804,Technical,Open,2023-11-19 10:49:28.865470,Bridget Berger
73786,95353197,Technical,Open,2023-06-24 15:37:01.059204,Mariah Fuentes
767998,91408785,Billing,In Progress,2023-12-11 23:44:17.758049,Joshua Potts MD
560621,97907446,Technical,Open,2024-01-27 18:47:52.598596,Christopher Wilson
508545,81348349,General,In Progress,2024-03-25 05:17:53.403031,Jacob Reid
607434,26970475,General,Open,2023-05-17 03:47:17.785589,Robert Garcia
575935,75411818,Technical,In Progress,2024-03-01 12:12:33.762160,Andrew Fitzgerald
287608,36163653,General,Open,2023-05-15 09:40:29.135480,Amanda Hamilton
469304,10133938,Billing,Open,2024-01-23 05:37:24.905273,Alexander Eaton
313944,14696835,Billing,In Progress,2023-05-15 12:56:07.054390,Samantha Wilson DVM
52396,34343015,Technical,In Progress,2024-01-13 08:23:54.481029,Kevin Rocha
173,46663696,Technical,Open,2023-07-28 07:33:24.019424,Colleen Leach
841723,42073858,Technical,In Progress,2023-06-05 05:12:22.317737,James Cain
365414,17193684,General,In Progress,2023-12-03 14:06:14.402367,Elizabeth Hudson
144214,58412848,Technical,In Progress,2023-12-29 20:34:25.997416,Jose Oneill
850670,14354558,General,Open,2023-05-15 20:43:15.080036,Melissa Ramirez
53019,17193684,Technical,In Progress,2023-07-05 02:07:33.894158,Gregory Strong
356559,49061253,Technical,In Progress,2023-08-05 13:50:47.752945,Andrew Kennedy
639925,88731435,Billing,Open,2024-02-23 18:39:45.575224,Kathryn Webb
175252,13197597,Billing,Open,2023-05-11 15:04:08.031112,Steven Roberts
559428,22891522,Technical,In Progress,2023-05-18 10:03:01.747075,Darrell Taylor
532693,26524744,General,Open,2023-11-12 04:28:12.013969,Patrick Sullivan
3342,90888699,General,Open,2023-05-22 14:48:04.031325,Kerri Wright
633646,33907832,Technical,Closed,2023-08-15 22:32:19.783942,Amy Peterson
731685,27125907,Billing,In Progress,2023-05-08 17:09:22.993940,Matthew Williams
372671,51626166,General,In Progress,2023-05-19 06:39:22.778442,Greg Vazquez
402383,77685576,General,In Progress,2023-06-05 02:04:08.320082,Brenda Hoffman
657723,29664132,General,Closed,2023-12-15 22:38:20.596953,Eric Keller
808032,22256531,General,Open,2023-09-01 10:39:04.894627,Elizabeth Dean
884585,98481180,General,In Progress,2023-10-15 05:33:01.470684,Joanna Pierce
902958,54415107,Billing,Closed,2024-01-27 16:28:26.776678,Steve Dawson
544233,86669395,Technical,Open,2023-12-01 05:51:43.829912,Michael Wright MD
247696,11174191,General,In Progress,2024-03-11 18:37:57.564284,Debbie Schwartz
658697,31865374,Technical,In Progress,2024-03-11 22:20:25.359858,Alison Contreras
976848,37622645,General,Closed,2023-10-19 01:09:40.085816,Kimberly Huffman
17083,98912269,Technical,In Progress,2023-11-26 21:36:20.501563,Latoya Mathis
993882,28727014,General,Open,2024-03-01 03:21:10.961215,Patrick Franklin
350397,59598607,Billing,In Progress,2023-09-04 04:20:25.206276,Tiffany Crawford
492972,44205976,Technical,Open,2023-11-04 02:39:25.897692,Stephanie Henry
347446,29872254,Billing,Closed,2023-11-21 10:26:28.216554,Margaret Carlson
213640,16639035,General,Closed,2023-07-27 15:01:11.483496,John Wilson
873111,48947480,Technical,Open,2023-07-07 19:22:33.653639,Sarah Chambers
721780,30586629,Billing,Open,2023-11-06 11:42:07.840000,Martha Ramirez
52428,23073941,General,Closed,2023-07-30 06:35:04.598452,Javier Boyer
686408,70624943,Technical,Closed,2023-05-31 03:32:43.874397,Janet Tate
127708,57297827,Technical,Open,2024-02-20 02:01:35.777265,Matthew Glover
181242,46732581,Billing,In Progress,2023-07-28 19:50:04.743879,Jeremiah Baker
946030,73768538,Technical,In Progress,2024-04-07 13:09:43.935967,Ms. Abigail Romero
978263,29873242,General,Open,2024-02-17 18:47:52.667195,Jacob Jones
257188,95399199,Billing,Open,2023-06-24 00:19:15.930366,Steven Crawford
195617,10126320,Technical,Open,2023-11-07 11:55:29.728805,Kaitlyn Oneal DDS
313928,66549780,Billing,Open,2023-12-19 03:37:43.977123,Ryan Perez
792220,36703297,Billing,Open,2023-10-27 21:39:20.323105,Jonathan Henderson
881172,32849911,Technical,Open,2023-10-12 21:30:11.404334,Brian Li
8074,41805145,Technical,Open,2023-09-05 10:14:26.747973,Robert Edwards
63595,48794056,General,Closed,2023-07-27 06:34:05.758463,Elizabeth Campbell
417184,92637171,Billing,Open,2024-02-07 10:16:48.528267,Karen Smith
983742,34714067,General,In Progress,2023-06-05 03:58:36.911336,John Sanford
192186,87984040,Billing,Closed,2023-09-02 14:43:24.150383,Jennifer Ramirez
290523,36460934,General,In Progress,2023-08-04 23:59:39.073174,Mikayla Farley
297667,58071172,Billing,In Progress,2024-01-24 03:47:38.568613,Linda Burch
758636,54226736,General,Open,2023-11-03 02:11:01.253180,Heather Perez
902357,92970801,General,In Progress,2023-07-20 12:11:00.798226,Alejandro Allen
159233,99293093,Billing,In Progress,2023-06-05 00:24:09.036243,Teresa Moore
958967,20663425,Billing,Closed,2023-05-03 12:29:04.335897,Shannon Ramirez
119576,38872755,General,Open,2023-08-11 02:42:43.410832,Sarah Zimmerman
230064,83991558,Technical,In Progress,2024-01-04 06:58:51.497103,Steven Hernandez
229126,40073037,General,In Progress,2023-10-01 12:15:07.228679,Thomas Palmer
428292,25324768,Technical,Open,2023-08-12 06:14:47.084429,Tiffany Joseph
842180,30107697,General,Open,2024-01-01 17:28:12.937859,Darius Roberts
645340,66780445,Billing,Closed,2024-01-03 17:20:01.300046,Linda Mccarthy
90498,46141575,Billing,Closed,2023-08-24 03:49:30.047930,Douglas Thomas
183396,19819004,General,Closed,2023-12-07 16:04:12.426850,Miss Elizabeth Frazier
585418,15780906,General,Open,2023-06-10 15:16:13.817633,Taylor Henry DDS
837938,53391047,Technical,In Progress,2023-05-14 00:53:59.016380,Douglas Odom
4141,26208201,Technical,Closed,2023-08-22 06:11:18.581238,Charles Garcia
59282,14061999,Billing,Open,2023-05-15 15:31:08.354930,Heidi Simmons
635564,43604544,Billing,Closed,2024-03-05 18:38:27.123042,Theresa Rich DDS
253499,86937997,Billing,In Progress,2023-05-25 07:14:45.171012,Patricia Allen
607206,91073474,General,Open,2023-11-02 17:12:27.910979,Christopher Rogers
163415,72309157,General,Open,2024-04-10 07:46:34.682459,James Grant
808887,57249034,Billing,Open,2024-01-26 20:28:52.388015,James Klein
148113,79059334,Technical,Closed,2023-10-02 05:54:30.842892,Kathleen Hart
315360,10482022,Billing,Closed,2023-08-11 15:35:46.402042,Holly Fisher
122818,49387010,General,Open,2024-04-27 17:44:00.214850,James Powell
487258,57373476,General,Open,2023-09-28 20:05:30.797214,Terry Carey
723602,71072775,General,Open,2024-04-15 20:22:59.563552,Emma Lowe
579414,30993823,General,In Progress,2024-03-01 07:23:06.997206,Lindsey Ray
440219,28600014,General,In Progress,2023-09-06 16:29:30.174735,Ryan Green
55805,57976142,Technical,Open,2023-06-28 08:57:09.275620,Marcus Henry
146845,67644474,Technical,In Progress,2024-03-21 03:20:08.386752,Erin Miller
386638,77682475,Billing,In Progress,2023-09-16 14:04:38.529447,Tiffany Harris
488647,25764790,General,Open,2023-12-02 20:13:54.365839,Amy Mcdonald
705775,16756894,Billing,Closed,2024-03-16 10:55:12.860780,Melissa Martinez
164311,92966984,General,Closed,2024-01-22 13:11:56.946516,Colleen Roberts
485232,13459016,General,Closed,2024-04-06 09:17:43.640280,Linda Smith
879916,47549137,Technical,Closed,2023-12-03 18:51:00.928886,Kenneth Christensen
321067,34693760,Technical,Open,2024-01-22 05:56:24.209497,Jeffrey Garcia
255533,83070094,Billing,Closed,2024-01-24 03:23:43.577857,Danny Hayden
311749,88541353,Technical,In Progress,2024-04-23 16:47:50.401780,Alexandra Bray
30431,45544602,Billing,Open,2024-02-11 15:17:51.792372,Casey Williams
222372,51087539,General,In Progress,2024-04-23 18:39:51.734018,Brittany Bradford
879912,20651099,Billing,In Progress,2023-10-28 21:38:38.295681,Lori Ayala
954823,80821428,Technical,In Progress,2023-07-09 01:42:39.993955,Angela Petersen
908127,58671717,General,In Progress,2024-03-08 10:53:49.398789,Danielle Reynolds
202074,85020795,Technical,In Progress,2023-11-09 04:40:36.596786,Randy Ross
68549,31492148,Billing,In Progress,2023-05-27 21:21:50.105341,Joshua Moore
91961,12978891,Billing,Open,2023-10-26 09:57:22.111682,Christy Acosta
847504,51452654,General,Open,2023-11-23 15:04:40.450308,Michael Harrison
905213,92565650,Billing,Open,2024-01-12 08:09:52.771766,Benjamin Mcclain
507172,35270699,Technical,Closed,2023-07-26 08:47:38.767074,Philip Harvey
993996,65313626,Technical,Closed,2023-05-02 02:40:41.714813,Christopher Gross
657063,65632691,Technical,Closed,2023-11-18 15:53:00.886607,Monique Lee
509512,28452683,General,Closed,2023-10-13 14:52:11.039887,Kenneth Olson
157001,53831964,General,Open,2023-12-06 14:09:15.814879,Jose Hall
506620,17199080,Billing,Closed,2023-11-01 06:40:15.155389,Samantha Roy
321490,75960375,General,Closed,2023-06-27 20:14:39.338347,Samuel Wells
507876,77420154,Billing,In Progress,2024-01-27 17:40:15.634786,Dr. Jamie Guzman
948009,24516201,General,Closed,2024-01-01 18:18:56.297922,Suzanne Patton
251015,17922366,Technical,Closed,2023-12-02 01:35:57.648584,Jeffrey Horton
908849,29152826,Technical,Open,2024-04-27 12:27:59.073043,Curtis Brennan
86561,82243635,Billing,Open,2023-12-29 19:51:15.669974,William Hicks
332589,67241413,Billing,Closed,2023-09-03 04:42:16.266264,Valerie Navarro
285586,59338092,General,Closed,2024-02-01 05:55:39.743278,Alan Lee
415292,69820814,General,In Progress,2024-04-14 09:36:20.594712,Mark Phelps
678746,29121463,Billing,Closed,2023-12-02 23:13:08.274974,Julia Edwards
76687,71086407,Billing,Closed,2023-06-19 19:55:16.154520,Ann Kelly
654179,12578774,Technical,Closed,2023-08-23 19:55:27.204835,Tiffany Copeland
983375,74516359,General,In Progress,2023-08-30 17:40:18.853153,Jessica Mckenzie
789636,87271401,General,Open,2023-12-05 02:54:38.097414,Debra Brown
456071,59294453,Technical,Open,2023-09-29 17:27:23.869575,Jessica Cooper
468812,14581106,General,In Progress,2023-11-25 09:15:10.364678,Leah Gardner
174201,16415750,Technical,In Progress,2023-08-18 02:22:15.020777,Brandy Ingram
264065,77876792,Billing,In Progress,2023-08-04 06:01:54.709221,Jacqueline Wright
956141,75631050,Technical,Open,2023-09-02 23:41:07.019717,Charles Holmes
974554,41780826,Technical,In Progress,2024-03-12 21:44:11.046216,Katherine Andrade
573452,84528409,General,In Progress,2024-01-16 22:31:00.842233,Timothy Gordon
391314,55700129,General,Open,2024-02-17 19:55:46.624313,Matthew Douglas
995391,61819117,Billing,In Progress,2023-05-23 01:38:58.077565,Timothy Wright
451942,83705447,Billing,In Progress,2023-07-12 17:33:25.685861,Andrea Andersen
649200,75698607,General,Closed,2023-10-29 00:24:36.915640,Francisco Byrd
362812,16033319,Technical,Closed,2024-03-12 17:01:39.532596,Natalie Blanchard
44241,65335123,Technical,In Progress,2023-12-25 05:04:53.622871,Barbara Clark
50061,63317257,General,Closed,2023-06-21 05:22:39.387002,Brian Mcdonald
587698,72939327,Billing,Open,2023-09-01 05:38:36.004347,Nancy Patrick
704942,74580125,General,In Progress,2023-11-17 17:04:21.657719,Jamie Sutton
387298,56533678,Billing,Open,2023-06-14 08:07:33.241316,David Castillo
885725,21086799,Technical,In Progress,2024-04-18 02:49:25.739670,Roy Johnson
975855,50396615,General,In Progress,2023-05-23 19:04:59.296496,Judith Cummings
838452,36947337,Billing,In Progress,2024-04-19 18:02:37.427990,Mrs. Jennifer Jordan
787022,49044952,Technical,Closed,2023-11-15 06:18:57.506994,Sydney Schneider
328161,42581825,Technical,Open,2023-08-23 02:44:58.675592,Tracey Lawson
407573,82409249,Billing,In Progress,2024-02-24 00:19:29.119749,Diane Cruz
478089,83779640,Technical,Closed,2023-05-14 03:00:11.221643,Latasha Young
703496,69836184,Technical,In Progress,2023-11-15 00:41:59.608523,Daniel Decker
486932,65927415,Billing,Open,2024-03-12 18:22:41.390959,Tammy Hale
201277,15780906,General,Closed,2024-01-27 21:18:11.667611,Michael Chambers
607046,45947869,General,In Progress,2024-01-24 20:02:58.712758,Juan Lopez
762165,98576066,Technical,Closed,2023-07-24 23:28:09.436776,Kathleen Landry
