AccountNo,Client_num,BankID,AccountType,Balance,Open_date,Close_date,Overdraft_limit
564707,77685576,37753542,Credit Card,907.1,2023-02-17,,84.16
283341,88731435,12907760,Checking,4754.91,2023-11-02,2024-01-22,16.52
441142,83428716,69598209,Credit Card,21327.27,2024-04-05,,958.58
726206,25764790,29369239,Savings,36662.27,2021-06-28,,853.19
360141,18962544,72565719,Savings,95987.01,2022-05-07,2022-09-03,892.73
409480,44367740,17178471,Savings,48054.05,2020-08-07,,261.46
949525,30498254,22135191,Credit Card,64875.8,2021-12-22,,823.56
144640,98917880,58525202,Loan,88868.7,2022-08-31,,424.36
936524,90310143,64741389,Savings,73442.31,2023-08-21,2024-04-11,343.5
643241,57976142,58525202,Savings,27789.25,2022-06-27,,140.15
592309,65746845,46264809,Credit Card,80932.2,2024-04-02,,537.93
406908,26617069,20758115,Checking,26486.09,2019-10-21,2020-03-16,376.46
889440,25506435,21077921,Loan,57372.29,2021-01-21,,379.05
493514,71822576,97544214,Savings,21471.21,2021-12-10,2024-04-19,670.78
251653,55567711,41046679,Savings,99206.1,2022-02-11,,446.58
663980,35724306,56863141,Loan,41113.89,2023-03-20,,630.05
972135,53970045,67777959,Savings,45270.93,2021-08-01,,476.59
824237,70671154,65785496,Savings,37058.32,2022-04-04,,729.36
70918,65519221,65785496,Savings,66829.94,2024-03-14,,103.44
696735,36522361,29369239,Credit Card,2858.37,2023-03-24,,629.45
22594,98562098,79497184,Credit Card,31839.05,2022-05-01,2022-12-21,346.36
258972,86814717,76033207,Credit Card,23029.58,2023-09-06,,307.09
531204,42397401,16698795,Credit Card,36984.47,2021-09-04,,690.9
596586,38287531,80257887,Savings,65129.13,2019-11-13,,289.68
274007,27296737,41046679,Credit Card,18911.68,2021-04-11,,39.25
180082,55762727,21077921,Credit Card,67139.22,2020-11-20,,255.71
410224,98132460,40716801,Checking,17773.3,2022-04-12,,303.04
591879,62694873,13871080,Checking,28697.8,2022-01-18,,171.61
436955,72066712,25223326,Checking,39781.88,2020-03-20,2020-08-22,427.07
300265,41033323,81972872,Checking,33039.51,2021-06-07,,632.35
871666,93487463,27727923,Credit Card,10349.68,2022-11-06,,196.46
534542,31269287,56863141,Checking,30352.64,2021-07-23,,587.96
326111,20217379,80287087,Checking,86981.58,2023-09-17,,64.69
847441,57921353,20265646,Savings,51367.0,2021-09-17,,602.21
189173,39506550,29369239,Loan,43414.5,2021-06-05,,886.89
924302,79003500,12180519,Loan,16340.43,2023-06-15,,377.39
846849,97629695,81972872,Loan,650.65,2021-12-03,,218.42
585956,24995045,14589305,Loan,32578.24,2021-11-29,,946.18
394159,64216105,12907760,Credit Card,44579.23,2022-04-22,,952.14
717129,16679711,76033207,Loan,44626.23,2020-10-23,,686.99
493228,34607840,65785496,Credit Card,72531.85,2020-03-29,,318.01
375556,48311495,27727923,Loan,3622.37,2022-05-07,,77.21
815525,20255488,37753542,Checking,89797.06,2023-07-06,,27.52
242137,95596395,93574729,Credit Card,77650.92,2021-11-09,2023-02-04,831.85
806478,95808634,12180519,Credit Card,60084.71,2024-02-29,,34.89
979447,17199080,22459364,Loan,43697.62,2023-01-18,,273.06
968042,74616724,92707769,Loan,81923.03,2020-10-10,,572.5
846228,72309157,69598209,Checking,47264.83,2023-10-22,,859.25
312533,58390686,84037897,Loan,37500.4,2023-08-30,,509.38
477114,16884843,69598209,Loan,73142.76,2022-06-26,2023-12-26,598.91
678305,97489419,60581823,Checking,57165.7,2021-01-17,,645.6
664766,86768001,56863141,Credit Card,42987.52,2020-02-22,,610.55
424318,80216657,37753542,Checking,18337.18,2021-03-30,,314.52
684477,38602885,12409716,Checking,48968.64,2023-11-03,2024-02-16,813.32
339188,68882885,20265646,Credit Card,4942.35,2020-04-22,,235.39
54605,50785299,74290792,Savings,23809.3,2021-11-28,,755.82
580524,59525552,81352293,Checking,15615.3,2021-06-30,,722.12
97158,58809963,46264809,Checking,84761.94,2023-07-27,,3.25
173264,50364031,21813819,Savings,29876.49,2023-12-26,,155.27
400918,66524744,63064216,Savings,59785.33,2020-05-04,2021-08-14,978.56
68727,90960968,93574729,Checking,96869.45,2023-04-18,,536.06
392800,83169110,12907760,Savings,66595.82,2019-12-03,,46.84
293154,71855466,76461901,Savings,36758.42,2019-05-28,,953.68
854900,16356699,16698795,Loan,63921.52,2023-01-12,,973.54
504687,75667147,11569464,Credit Card,27464.85,2023-09-22,,126.11
30148,22236043,29369239,Credit Card,11488.51,2021-03-09,,314.56
213779,32631503,64452737,Loan,88553.16,2023-11-18,,300.18
153950,71067735,58525202,Credit Card,99244.11,2021-05-20,,757.71
586258,80180949,72565719,Savings,5784.1,2022-12-07,,941.88
200526,80935900,50736126,Savings,37474.85,2023-10-07,,758.21
630066,40735485,16698795,Loan,5846.23,2022-11-29,,678.98
683221,37622645,93574729,Checking,47316.84,2020-10-30,,513.19
192563,98102167,22632821,Checking,65685.7,2023-07-03,2024-01-06,98.47
71436,78167029,11569464,Checking,89996.77,2024-01-14,,362.75
432939,83571857,22632821,Savings,87606.65,2021-01-03,,395.2
444150,83666382,69598209,Loan,39867.73,2023-03-14,2023-06-10,117.7
791729,14051260,64452737,Savings,29136.78,2019-10-25,,884.64
466370,86640751,21077921,Credit Card,98127.35,2022-02-04,2022-09-25,72.39
521042,52514260,60581823,Savings,77547.08,2021-09-20,,621.56
127070,30277416,59181519,Credit Card,32403.3,2023-06-08,,471.37
867929,45194938,12409716,Savings,61626.73,2020-09-04,2022-09-23,609.43
83926,92202341,11569464,Savings,20381.86,2022-04-11,,583.53
281749,64382765,84037897,Credit Card,90485.27,2023-02-10,,914.25
671950,19827769,64741389,Savings,82402.4,2019-05-19,,252.79
16615,74988472,19918798,Checking,63470.65,2023-04-10,,886.16
471240,50232308,69598209,Loan,99451.95,2022-03-29,,275.48
257450,44522695,12180519,Savings,89034.21,2023-11-19,,777.71
831244,97491388,60581823,Savings,71925.59,2022-04-17,2023-05-09,463.28
133798,29995795,42672546,Checking,24591.97,2022-10-22,,963.52
596113,31332666,12907760,Checking,67638.39,2020-03-09,,783.52
893053,51678291,25223326,Credit Card,82558.9,2024-04-26,,594.08
472618,94477972,76033207,Loan,93656.54,2023-03-30,,129.89
297907,97218748,86893602,Loan,72864.45,2022-05-12,2022-08-08,405.75
215795,80076238,20758115,Loan,20122.74,2023-02-16,,407.29
820037,44702676,21813819,Loan,17234.92,2020-03-20,,204.26
344447,14566977,22632821,Savings,67458.92,2020-08-07,,89.21
922894,64869132,72565719,Credit Card,94923.34,2021-01-25,,492.72
809611,46736831,97544214,Savings,73615.96,2023-02-15,,877.28
179322,88831950,50736126,Checking,91976.94,2023-03-13,,164.72
565181,43255313,87451692,Credit Card,73346.61,2020-08-10,,821.22
996675,68524372,22459364,Credit Card,55405.73,2021-07-15,,934.47
262710,18460994,81352293,Savings,89120.02,2020-03-21,,781.21
575061,52953636,50736126,Savings,33148.37,2021-08-12,,135.25
884757,45883441,86893602,Credit Card,20697.23,2024-03-15,,352.39
319923,25122661,25223326,Credit Card,43151.53,2022-04-21,,530.02
603064,45941460,87451692,Loan,74819.86,2021-06-11,,191.69
467515,54226736,42672546,Savings,79136.28,2021-06-05,,323.37
201523,26451906,64452737,Loan,66712.48,2022-05-01,,877.35
783512,45318314,86893602,Loan,36162.15,2020-11-13,,412.52
687796,71559489,22135191,Credit Card,77224.48,2019-08-31,,689.0
142587,38527133,21077921,Loan,80263.53,2021-04-18,2021-05-26,281.33
731495,42593446,64741389,Checking,50986.47,2021-04-12,,709.46
949877,75209825,58525202,Savings,89277.98,2021-09-02,,574.1
924623,50948552,50736126,Savings,408.61,2024-02-14,,603.11
841531,40070368,20758115,Loan,76938.47,2023-06-21,,426.28
301231,37786213,22135191,Checking,60992.37,2023-03-17,2024-03-19,617.32
785452,23436576,92707769,Credit Card,88329.67,2021-09-05,,367.16
316546,60080940,11569464,Checking,19794.76,2022-07-27,,219.03
550611,45156818,79497184,Loan,31127.57,2020-06-30,,745.43
298560,27225995,40716801,Loan,90873.91,2021-03-05,,985.98
628049,23112012,22632821,Loan,35922.95,2021-05-05,,747.9
514300,24332492,60581823,Credit Card,85599.65,2019-06-06,,250.98
413998,76186312,64741389,Checking,1353.43,2023-05-09,,32.35
382479,43556746,67777959,Savings,62317.45,2022-12-17,,199.63
872126,93973507,21813819,Credit Card,87659.0,2021-04-26,,716.62
850448,79321870,37753542,Loan,38178.25,2019-11-17,,528.48
165324,98184212,93574729,Checking,98708.13,2019-08-05,,762.89
854965,41078426,56863141,Savings,81638.6,2020-01-17,,67.45
278575,69048225,42672546,Checking,42612.03,2021-11-21,2023-11-04,410.41
79551,29964395,39697743,Checking,67661.25,2022-11-17,,308.02
397929,17188338,74290792,Loan,80917.98,2020-10-07,,407.95
951978,44334039,17178471,Loan,534.56,2023-05-23,,578.23
898400,22533929,22135191,Checking,35814.06,2021-06-21,,376.51
670564,73991742,12180519,Savings,76438.98,2023-11-11,,649.51
230545,86847401,58525202,Loan,17092.71,2020-06-10,,616.58
418336,50715031,14589305,Loan,28021.11,2020-03-29,,963.21
738995,22935080,59181519,Loan,38577.02,2020-06-07,,949.82
893768,10425316,14589305,Loan,14695.54,2021-06-09,,562.15
269932,41145409,11569464,Savings,89048.61,2020-04-13,2020-11-10,589.11
867255,43976562,25223326,Savings,11391.97,2022-08-26,,514.08
391,59066477,11569464,Savings,79955.65,2021-01-07,,537.08
28063,97792368,17178471,Loan,32317.12,2020-10-17,,981.21
8404,47620730,65785496,Loan,95499.86,2022-07-12,2023-09-02,614.4
42224,44199458,72565719,Checking,55033.03,2021-12-31,,639.85
747363,88917304,32264006,Credit Card,43958.28,2021-05-27,,291.81
253868,78372855,22135191,Savings,36658.45,2023-05-10,,196.07
504724,72081380,84037897,Savings,42872.33,2020-02-26,,818.7
448719,69792198,12907760,Checking,59495.88,2021-09-30,,302.36
225943,70310551,13871080,Checking,94851.09,2020-08-02,,640.1
217644,48881077,58525202,Loan,48992.69,2024-02-20,,16.55
280202,75100598,32264006,Savings,82701.66,2024-04-04,,62.97
58832,85262648,84037897,Loan,60011.75,2022-02-12,,990.01
286155,39234245,12549576,Checking,41914.6,2024-01-29,,0.34
771488,44433056,79497184,Credit Card,12131.23,2022-11-12,,113.8
409746,12526298,40716801,Checking,74754.92,2023-07-14,,819.31
759134,77785487,22459364,Loan,71821.5,2020-04-04,,923.72
517120,13591650,81972872,Checking,40359.61,2020-11-15,,554.12
327701,52658673,80257887,Savings,29847.36,2023-01-20,,895.88
24611,41085742,17178471,Credit Card,25195.32,2021-02-10,,173.22
458474,89792449,58525202,Loan,90999.56,2021-03-30,2021-12-04,447.99
744618,47793491,12549576,Loan,7188.79,2023-06-10,2023-12-17,740.61
117875,25811457,55798973,Credit Card,41483.47,2022-09-08,2023-05-13,969.76
966012,95100226,58525202,Loan,65470.25,2024-04-07,,615.15
175427,76068139,22632821,Savings,33080.77,2024-02-01,,214.51
29306,19687121,50736126,Credit Card,21461.17,2023-08-22,2023-09-24,171.15
132606,98768829,97544214,Credit Card,41658.49,2021-09-12,,578.97
181283,54037273,16698795,Checking,10945.79,2023-10-14,,524.98
798606,15226760,12549576,Credit Card,10524.08,2020-02-18,,449.75
802242,64518744,41046679,Savings,91864.01,2022-10-11,,601.03
257335,94739695,74290792,Credit Card,48733.77,2019-11-21,2020-10-26,137.89
331077,99676586,46264809,Loan,2959.3,2022-03-30,2022-04-08,509.47
949766,90395245,19918798,Credit Card,25201.54,2021-07-12,,709.63
328530,34234528,51710843,Checking,42632.6,2021-08-02,,671.12
637445,98481180,11569464,Savings,13824.35,2023-10-08,,80.17
266232,85118932,22632821,Credit Card,6099.05,2021-01-03,,157.24
958130,83584760,76033207,Savings,13912.38,2020-10-02,,203.21
216624,26535117,74290792,Checking,92292.46,2019-07-17,,644.92
345561,68597251,79497184,Credit Card,51706.46,2024-02-07,,602.29
358670,23942334,16698795,Credit Card,10354.01,2021-04-16,2021-06-23,435.83
692478,21160798,97544214,Loan,53041.71,2022-08-13,,210.66
824442,55768469,12409716,Credit Card,48855.51,2021-06-10,,511.43
985778,93804794,11569464,Checking,69187.49,2024-04-14,,832.23
219089,14694178,59181519,Checking,59170.97,2022-12-19,,813.74
214136,74994015,79497184,Credit Card,60753.02,2022-04-15,,710.45
940649,30078963,21813819,Credit Card,38049.18,2019-05-06,,792.31
165402,87210332,59181519,Credit Card,67438.73,2023-08-01,,37.06
54992,65359785,74290792,Loan,9116.81,2022-03-25,2022-09-04,425.28
420772,90457287,37753542,Checking,79888.27,2020-09-24,,516.67
63661,71407115,81352293,Credit Card,80825.49,2022-03-16,,821.61
319671,49549954,92114008,Loan,79387.46,2023-01-13,,516.36
290556,25590655,39697743,Loan,14107.42,2020-12-04,,7.87
676867,93015409,20265646,Loan,77833.79,2023-11-08,,480.25
274481,74628388,76033207,Credit Card,17496.21,2024-03-06,,4.69
498510,62543304,63064216,Checking,98644.51,2021-07-10,,551.57
476964,66780445,12907760,Savings,16234.97,2019-12-24,,527.24
508564,41513385,32264006,Credit Card,70283.0,2023-01-13,,724.25
55498,54241102,64741389,Savings,5618.79,2023-12-15,2024-03-04,889.79
881160,34153112,32264006,Savings,20241.63,2019-05-05,,548.4
545178,10014066,79497184,Loan,18664.78,2022-12-05,,381.32
378463,46732581,13871080,Checking,35202.7,2022-12-07,,106.83
553143,86154046,22459364,Savings,95083.73,2023-03-14,,460.59
977319,34108761,93574729,Credit Card,24801.22,2022-09-30,,19.25
597188,11607708,12409716,Checking,3685.31,2022-08-28,,826.99
216730,83658087,59181519,Loan,37624.12,2019-12-12,,112.42
874098,36695820,46264809,Credit Card,73917.84,2021-01-13,2022-05-03,216.16
658030,70766773,58525202,Loan,40443.63,2020-04-16,,897.26
650201,71594245,20758115,Checking,58722.34,2022-08-16,,727.28
605852,38459666,42672546,Checking,50056.8,2022-06-18,,933.4
603201,31436119,19918798,Credit Card,9368.03,2022-04-27,,220.17
470431,46507889,46264809,Loan,3916.34,2020-09-30,,535.91
755417,29895632,50736126,Checking,17164.9,2021-09-10,2023-08-01,530.99
518621,44022235,90079264,Loan,70195.68,2021-06-14,,717.98
679299,62200066,81352293,Checking,9983.94,2023-05-15,,789.15
625167,18864044,92707769,Loan,55138.79,2021-09-16,,78.1
208393,96806717,25223326,Loan,70845.3,2023-04-09,2023-05-10,975.37
798866,87167107,21813819,Credit Card,78820.56,2023-01-28,,440.97
283596,59557491,20758115,Checking,47064.06,2020-10-15,,655.9
186363,81600466,12907760,Savings,41126.87,2023-12-22,,184.96
162792,93352464,76033207,Checking,5244.98,2020-07-25,,316.74
898114,46686702,12549576,Loan,70662.73,2022-03-15,,34.89
909082,85155984,22135191,Loan,27128.66,2019-09-04,,520.85
105137,63711956,46264809,Credit Card,15362.78,2023-01-31,,592.93
91777,35184283,22135191,Checking,79399.66,2021-05-26,,722.19
241818,45257668,64741389,Credit Card,48223.52,2021-12-21,,893.93
819186,79902213,51710843,Credit Card,67810.12,2023-01-03,,77.79
802827,58757049,87451692,Loan,26356.12,2019-07-31,,862.63
772317,58661236,74290792,Checking,3459.36,2020-04-12,,312.71
479372,42457068,63064216,Checking,19850.03,2023-06-16,,522.22
799938,54097993,22459364,Loan,80226.1,2022-09-28,,908.99
85796,98934106,12549576,Savings,43536.84,2021-02-02,,999.36
625560,15927606,65785496,Credit Card,37257.12,2020-02-27,,651.29
383203,16014615,12322955,Savings,64181.36,2020-05-15,2023-04-24,900.19
640065,61347353,14589305,Credit Card,81579.27,2020-02-05,2021-05-05,839.61
737496,52161373,12180519,Savings,11653.11,2020-03-14,,876.12
671979,60475823,37753542,Loan,7763.46,2022-10-11,,503.83
456360,30747224,58525202,Savings,54827.73,2022-06-12,,754.8
635460,43604544,22459364,Savings,55538.62,2020-12-27,,206.9
756248,37356683,86893602,Credit Card,42736.81,2019-10-27,,613.96
84687,48960880,92707769,Savings,96935.12,2022-08-07,,522.6
930478,63646322,12180519,Loan,63116.52,2019-09-17,2021-08-01,709.3
481695,68915032,25223326,Checking,71272.71,2022-07-18,,153.94
22278,28253610,77441705,Loan,71445.77,2022-09-12,,917.61
181863,99846026,67777959,Checking,64875.78,2020-10-03,,976.4
314633,63243117,20758115,Loan,44979.85,2021-06-16,,332.35
576582,88130296,81972872,Savings,14793.35,2021-05-20,,661.61
488727,62116317,11569464,Credit Card,88082.73,2022-11-02,2023-06-19,612.69
908170,76063048,65785496,Credit Card,75910.12,2020-07-27,,145.22
273081,85747723,63064216,Loan,75509.26,2021-03-20,,926.09
874177,34791351,16698795,Savings,6430.12,2023-06-11,,158.39
357030,41875173,25223326,Credit Card,54155.87,2021-05-19,,320.05
823657,91639715,29369239,Checking,24727.53,2021-03-16,2023-10-06,55.47
869409,50236562,14589305,Loan,49828.05,2021-09-12,,238.14
430868,64405665,84037897,Savings,63159.76,2022-07-31,2022-08-25,102.62
980270,18075410,29369239,Loan,41181.35,2023-10-03,,924.56
441909,12616358,80287087,Credit Card,38856.96,2021-02-08,,991.25
693318,92092867,63064216,Checking,91920.47,2022-03-30,,894.81
300810,70111556,14589305,Credit Card,63284.94,2019-05-02,,274.15
744709,89746175,84037897,Checking,27623.05,2019-08-03,,580.5
524754,58605007,40716801,Credit Card,88793.13,2020-07-24,,270.05
299361,73167202,27727923,Loan,15010.55,2022-05-08,,311.41
653041,59363104,80287087,Checking,77622.65,2021-06-04,,221.87
803938,74384585,21813819,Savings,5299.94,2021-05-30,,837.41
990630,92752921,74290792,Checking,46532.6,2023-07-07,,429.95
254995,39556464,22135191,Savings,42637.94,2021-10-11,,269.24
798424,78280192,63064216,Credit Card,7612.16,2023-09-21,2023-10-15,273.41
619267,85672593,93574729,Checking,92639.43,2021-05-04,,132.55
650894,79059334,22135191,Credit Card,5658.29,2020-01-30,,841.99
861232,23332378,19918798,Loan,97979.06,2020-02-20,2021-02-06,709.2
105585,48610763,81972872,Checking,73930.66,2021-03-13,,593.76
707056,55521389,25223326,Loan,41590.84,2022-03-17,2023-12-25,840.88
890544,24803934,76461901,Savings,4476.31,2023-11-01,,876.07
564787,16850090,20265646,Savings,39883.75,2019-08-14,,414.03
270618,29968591,41087230,Checking,58871.91,2020-05-03,,376.77
327436,78216486,80287087,Savings,44538.99,2020-01-04,,685.16
345216,44310958,20758115,Credit Card,54269.47,2021-10-29,,886.03
580639,84498205,22632821,Savings,17911.53,2023-07-10,,781.81
164260,11629728,80257887,Credit Card,20673.21,2019-08-31,2020-05-16,832.09
309507,49725752,77441705,Loan,56679.29,2019-11-06,,883.93
485320,87080068,29369239,Savings,14903.01,2023-09-27,,79.94
700302,46398746,84037897,Checking,31432.26,2019-06-07,,481.05
591658,21282350,76461901,Checking,63791.96,2022-04-17,,244.81
142319,56913593,17178471,Savings,54336.61,2021-10-08,2022-06-05,674.4
839518,59136624,17178471,Loan,95088.38,2019-07-02,,61.24
447078,19796589,86893602,Checking,75399.98,2022-12-05,2023-01-16,507.15
928415,88154151,67777959,Credit Card,36768.87,2022-06-28,2024-04-14,898.94
896978,55933333,56863141,Savings,29564.94,2023-06-24,2023-10-04,916.4
741985,33749623,16698795,Loan,37987.8,2023-07-23,,580.39
196880,78829833,46264809,Checking,38681.79,2021-08-15,,813.36
165022,24580791,50736126,Credit Card,88585.06,2023-05-21,,992.04
13610,59599070,86893602,Checking,22894.91,2023-02-24,,965.72
166865,50941533,25223326,Loan,43230.22,2021-07-26,,322.59
614840,93735480,12322955,Checking,60300.14,2024-02-27,2024-04-02,484.31
398557,70456805,63064216,Loan,25121.74,2023-06-25,,822.61
294930,98744305,39697743,Checking,30140.76,2023-11-21,,902.65
482399,89766204,27727923,Loan,46563.02,2021-04-13,,362.89
848100,88810538,19918798,Checking,70899.11,2021-07-11,,589.96
694580,40649767,87451692,Checking,74342.92,2019-07-28,,503.93
239751,13159353,80287087,Checking,51517.15,2020-02-21,2021-04-02,255.85
452379,50423917,13871080,Savings,29709.48,2023-03-16,2023-10-18,832.61
97483,72919962,17178471,Checking,51027.22,2019-06-30,2020-11-18,942.37
252705,94824156,90079264,Checking,75783.66,2023-07-07,,796.82
570688,60035842,81972872,Checking,29667.75,2023-02-20,,493.64
977736,55166840,20265646,Loan,16313.03,2019-08-19,,918.8
846250,38653083,84037897,Credit Card,7403.06,2021-02-18,,401.88
522754,11477490,65785496,Loan,68215.7,2020-09-08,,820.18
372947,25385782,87451692,Savings,30829.33,2022-08-21,,222.73
94313,92669884,92707769,Credit Card,55595.69,2023-05-11,,9.6
507758,71381352,16698795,Checking,23155.19,2023-07-17,,10.93
547346,48886894,81972872,Loan,75480.1,2021-04-16,,157.69
321073,48848935,74290792,Checking,98847.88,2021-06-28,,599.83
127168,87301358,17178471,Loan,36395.76,2020-12-22,,876.97
560270,23234967,11569464,Credit Card,96640.25,2021-07-08,,965.3
842567,90004764,97544214,Credit Card,56943.19,2023-09-13,,341.2
61740,36128821,20758115,Credit Card,35946.26,2023-12-11,,144.68
766959,21086799,40716801,Loan,35170.29,2023-02-10,,968.84
790182,56362149,21813819,Credit Card,7924.84,2021-12-29,2023-08-08,279.39
911811,93785233,50736126,Checking,84005.12,2021-03-25,2021-07-24,862.01
793911,54397093,16698795,Checking,94048.48,2021-02-01,,245.06
1159,85361865,67777959,Savings,5167.04,2023-01-15,,72.09
422715,53582138,64452737,Credit Card,51885.01,2020-10-18,,121.11
578059,27230819,64452737,Loan,8786.4,2019-10-17,,865.16
935513,83666364,12180519,Credit Card,92356.53,2019-08-29,,670.66
560073,30649132,17178471,Credit Card,52448.12,2022-05-03,,309.15
825978,57078343,76033207,Credit Card,42421.28,2020-01-11,2021-06-23,996.73
68924,98992215,41087230,Checking,28818.72,2021-05-21,,820.84
871369,71202722,80257887,Loan,2620.66,2023-05-14,2024-01-24,307.73
547899,58627040,90079264,Savings,74301.79,2020-06-12,,79.29
771740,73648438,86893602,Checking,5107.47,2022-12-07,,4.19
916432,31556510,12549576,Credit Card,31313.97,2023-10-31,,416.63
744754,63843462,12549576,Checking,4855.96,2020-06-22,,497.93
143804,83974959,60581823,Credit Card,20373.9,2021-02-09,,143.43
670247,43613624,12180519,Credit Card,54781.9,2021-09-21,,849.35
788937,94279702,79497184,Credit Card,27447.23,2019-10-06,,774.41
435693,86998168,20758115,Savings,7298.6,2021-02-01,,320.76
682271,42904950,87451692,Loan,41821.03,2020-06-27,,265.0
641342,62019975,81352293,Loan,89066.65,2019-06-14,,489.98
522617,84842598,84037897,Loan,88093.93,2022-01-20,,739.63
443078,87481654,20265646,Credit Card,11737.89,2023-02-23,2023-10-26,174.64
317171,67548844,27727923,Credit Card,50741.24,2023-04-16,,921.27
777674,14015855,63064216,Credit Card,24862.75,2022-02-25,2023-01-01,386.24
604334,51452602,87451692,Credit Card,32302.14,2021-09-28,,479.68
522365,11204793,69598209,Savings,48475.13,2019-11-13,,725.92
757182,95152534,12907760,Credit Card,15391.95,2021-07-09,,649.15
692719,75957054,64452737,Savings,51742.71,2023-05-19,,443.75
55896,48959656,72565719,Checking,94817.79,2022-04-20,,989.35
444348,22232992,37753542,Credit Card,53146.95,2021-02-27,,550.28
585206,65675116,64741389,Savings,64005.39,2020-08-30,,298.1
672913,15387595,12907760,Checking,23063.75,2021-03-11,,836.74
200293,69853962,40716801,Checking,36519.83,2023-01-01,,969.91
392548,99346501,21813819,Checking,81334.72,2020-11-09,,889.26
