Client_num,Customer_name,Customer_age,Gender,Dependent_count,Education_level,Marital_status,Income_category,Email,Contact_number,Random_Credit_Score
26509545,Jesse Morales,65,Male,2,High School,Single,High,itaylor@example.org,(158) 438-1472,817.5411487935804
26509545,Jesse Morales,65,Male,2,High School,Single,High,itaylor@example.org,(158) 438-1472,817.5411487935804
10481201,Kimberly Long,43,Male,1,High School,Single,High,egaines@example.net,(771) 258-8610,706.3797978563446
10481201,Kimberly Long,43,Male,1,High School,Single,High,egaines@example.net,(771) 258-8610,706.3797978563446
10481201,Kimberly Long,43,Male,1,High School,Single,High,egaines@example.net,(771) 258-8610,706.3797978563446
81203684,Zachary Johnson MD,32,Male,2,Bachelor's,Single,High,dennis60@example.net,(540) 339-4556,817.5411487935804
48838248,Brooke Contreras,41,Female,2,High School,Single,High,edward47@example.net,(817) 429-1146,817.5411487935804
48838248,Brooke Contreras,41,Female,2,High School,Single,High,edward47@example.net,(817) 429-1146,817.5411487935804
50396615,Misty Choi,42,Male,4,High School,Married,High,danielandrews@example.org,(130) 852-6062,817.5411487935804
50396615,Misty Choi,42,Male,4,High School,Married,High,danielandrews@example.org,(130) 852-6062,817.5411487935804
52639629,Sarah Huynh,61,Female,2,High School,Married,High,mariagibson@example.org,(695) 270-2551,
53369284,Amy Sanchez,33,Male,3,High School,Married,High,jacksonkenneth@example.com,(012) 107-7683,706.3797978563446
53369284,Amy Sanchez,33,Male,3,High School,Married,High,jacksonkenneth@example.com,(012) 107-7683,706.3797978563446
92123637,Margaret Swanson,50,Female,1,Bachelor's,Single,Low,lrodriguez@example.net,(974) 275-4968,817.5411487935804
92123637,Margaret Swanson,50,Female,1,Bachelor's,Single,Low,lrodriguez@example.net,(974) 275-4968,817.5411487935804
36899719,Angela Peterson,27,Male,1,High School,Single,Low,edwardsjoe@example.org,(274) 452-8566,
70812655,Jesus Mcbride,24,Male,2,High School,Single,Medium,michaelperez@example.org,(158) 966-5611,
47393495,Kathleen White,46,Male,4,Master's,Married,High,ihoward@example.com,(772) 991-5303,706.3797978563446
70656480,Erik Johnson,42,Female,0,High School,Single,High,gadams@example.com,(266) 197-4084,706.3797978563446
70656480,Erik Johnson,42,Female,0,High School,Single,High,gadams@example.com,(266) 197-4084,706.3797978563446
21835060,Hannah Yoder,21,Male,1,Bachelor's,Single,Medium,cindy22@example.net,(381) 085-0055,706.3797978563446
21835060,Hannah Yoder,21,Male,1,Bachelor's,Single,Medium,cindy22@example.net,(381) 085-0055,706.3797978563446
11751075,Theresa Cooper,33,Male,1,Bachelor's,Single,Low,jordan16@example.com,(526) 196-5108,817.5411487935804
11751075,Theresa Cooper,33,Male,1,Bachelor's,Single,Low,jordan16@example.com,(526) 196-5108,817.5411487935804
69048225,Chad Brown,22,Female,0,Doctorate,Single,Low,ywilliams@example.org,(633) 592-6556,817.5411487935804
20136701,Christopher Long,61,Female,1,Doctorate,Married,Low,andrewmontes@example.com,(088) 049-2965,817.5411487935804
20136701,Christopher Long,61,Female,1,Doctorate,Married,Low,andrewmontes@example.com,(088) 049-2965,817.5411487935804
75286838,Jessica Davis,59,Female,4,High School,Married,Medium,tanyarowe@example.net,(356) 008-7492,706.3797978563446
75286838,Jessica Davis,59,Female,4,High School,Married,Medium,tanyarowe@example.net,(356) 008-7492,706.3797978563446
31728999,Tammy Anderson,20,Female,3,Master's,Married,Medium,lwilliams@example.com,(703) 928-4397,
27158467,Candace Evans,41,Male,2,Bachelor's,Single,High,ogarcia@example.org,(091) 246-2846,817.5411487935804
27158467,Candace Evans,41,Male,2,Bachelor's,Single,High,ogarcia@example.org,(091) 246-2846,817.5411487935804
27158467,Candace Evans,41,Male,2,Bachelor's,Single,High,ogarcia@example.org,(091) 246-2846,817.5411487935804
27158467,Candace Evans,41,Male,2,Bachelor's,Single,High,ogarcia@example.org,(091) 246-2846,817.5411487935804
27158467,Candace Evans,41,Male,2,Bachelor's,Single,High,ogarcia@example.org,(091) 246-2846,817.5411487935804
33056010,Jason Garcia,21,Female,0,High School,Single,High,danielmartinez@example.org,(790) 614-8245,681.6141206396953
33056010,Jason Garcia,21,Female,0,High School,Single,High,danielmartinez@example.org,(790) 614-8245,681.6141206396953
22232992,Alex Schneider,65,Female,2,Bachelor's,Married,High,gduncan@example.com,(592) 619-5444,706.3797978563446
22232992,Alex Schneider,65,Female,2,Bachelor's,Married,High,gduncan@example.com,(592) 619-5444,706.3797978563446
95853315,Abigail Webster,53,Male,2,High School,Single,Medium,henryallen@example.net,(026) 486-0008,817.5411487935804
95853315,Abigail Webster,53,Male,2,High School,Single,Medium,henryallen@example.net,(026) 486-0008,817.5411487935804
95853315,Abigail Webster,53,Male,2,High School,Single,Medium,henryallen@example.net,(026) 486-0008,817.5411487935804
76247303,Rachael Hansen,57,Female,1,Master's,Single,High,mary12@example.org,(435) 248-2952,681.6141206396953
76247303,Rachael Hansen,57,Female,1,Master's,Single,High,mary12@example.org,(435) 248-2952,681.6141206396953
68480619,Eric Harper,29,Female,1,Master's,Single,Low,alistephanie@example.org,(645) 855-2684,
14614777,Tyler Edwards,49,Male,4,High School,Married,Medium,michelle40@example.org,(656) 854-0876,706.3797978563446
14614777,Tyler Edwards,49,Male,4,High School,Married,Medium,michelle40@example.org,(656) 854-0876,706.3797978563446
14614777,Tyler Edwards,49,Male,4,High School,Married,Medium,michelle40@example.org,(656) 854-0876,706.3797978563446
14614777,Tyler Edwards,49,Male,4,High School,Married,Medium,michelle40@example.org,(656) 854-0876,706.3797978563446
17188856,Andrea Bowman,41,Female,1,Master's,Single,Medium,clewis@example.net,(622) 648-0610,706.3797978563446
17188856,Andrea Bowman,41,Female,1,Master's,Single,Medium,clewis@example.net,(622) 648-0610,706.3797978563446
17188856,Andrea Bowman,41,Female,1,Master's,Single,Medium,clewis@example.net,(622) 648-0610,706.3797978563446
17188856,Andrea Bowman,41,Female,1,Master's,Single,Medium,clewis@example.net,(622) 648-0610,706.3797978563446
86389746,Christian Hernandez,67,Female,1,Master's,Married,High,calvin93@example.net,(546) 310-4051,706.3797978563446
86389746,Christian Hernandez,67,Female,1,Master's,Married,High,calvin93@example.net,(546) 310-4051,706.3797978563446
90095136,Kenneth Rose,40,Female,4,Bachelor's,Married,High,louis20@example.net,(716) 179-2693,706.3797978563446
86088146,Regina Marquez,40,Female,2,Master's,Married,Medium,horr@example.org,(999) 638-7933,681.6141206396953
86088146,Regina Marquez,40,Female,2,Master's,Married,Medium,horr@example.org,(999) 638-7933,681.6141206396953
86088146,Regina Marquez,40,Female,2,Master's,Married,Medium,horr@example.org,(999) 638-7933,681.6141206396953
82493095,Jacob Sanchez,48,Male,1,High School,Married,High,angela45@example.com,(318) 804-5716,706.3797978563446
82493095,Jacob Sanchez,48,Male,1,High School,Married,High,angela45@example.com,(318) 804-5716,706.3797978563446
91348004,Michael Moran,32,Male,3,Master's,Married,High,levans@example.org,(547) 355-9422,817.5411487935804
58019814,Benjamin Barnett,40,Female,3,High School,Married,Medium,timothyschultz@example.net,(631) 480-9777,706.3797978563446
58019814,Benjamin Barnett,40,Female,3,High School,Married,Medium,timothyschultz@example.net,(631) 480-9777,706.3797978563446
58019814,Benjamin Barnett,40,Female,3,High School,Married,Medium,timothyschultz@example.net,(631) 480-9777,706.3797978563446
48617459,Trevor Bates,53,Female,1,High School,Married,Medium,gregorytaylor@example.net,(360) 826-1672,817.5411487935804
23262408,Donald Riley,22,Male,0,High School,Single,Low,tammy41@example.org,(691) 796-4686,
50800550,David Myers,38,Male,2,Master's,Single,Medium,dixontheresa@example.com,(093) 960-6226,681.6141206396953
81532436,Christopher Daniels,70,Male,1,High School,Married,High,matthewbrady@example.com,(283) 663-5855,706.3797978563446
36651750,Keith Evans,27,Male,2,Bachelor's,Married,High,katie55@example.org,(487) 616-7283,681.6141206396953
36651750,Keith Evans,27,Male,2,Bachelor's,Married,High,katie55@example.org,(487) 616-7283,681.6141206396953
87517974,Shelly Henry,52,Female,4,Bachelor's,Married,High,muellergeorge@example.org,(164) 202-3694,706.3797978563446
25868380,Juan Thomas,55,Female,0,High School,Single,High,bakerandrea@example.com,(257) 290-1226,817.5411487935804
98193110,Brittany Wyatt,52,Male,3,Bachelor's,Married,Medium,beckjustin@example.org,(907) 746-5402,817.5411487935804
75604765,Tanner Rasmussen,65,Male,0,Master's,Single,Medium,medinapaul@example.org,(357) 689-4326,706.3797978563446
75604765,Tanner Rasmussen,65,Male,0,Master's,Single,Medium,medinapaul@example.org,(357) 689-4326,706.3797978563446
75604765,Tanner Rasmussen,65,Male,0,Master's,Single,Medium,medinapaul@example.org,(357) 689-4326,706.3797978563446
75604765,Tanner Rasmussen,65,Male,0,Master's,Single,Medium,medinapaul@example.org,(357) 689-4326,706.3797978563446
89179856,Audrey Hoffman,70,Male,2,Master's,Married,Medium,webbkayla@example.net,(738) 029-8189,706.3797978563446
24070373,Marvin Marshall,67,Female,1,High School,Single,High,jaustin@example.com,(512) 716-8936,817.5411487935804
82841472,Felicia Mooney,20,Female,2,Master's,Single,High,melissa35@example.net,(782) 662-5179,706.3797978563446
74380177,Richard Hampton,20,Male,0,Master's,Single,Medium,ashleyjimenez@example.net,(586) 657-0192,706.3797978563446
74380177,Richard Hampton,20,Male,0,Master's,Single,Medium,ashleyjimenez@example.net,(586) 657-0192,706.3797978563446
74380177,Richard Hampton,20,Male,0,Master's,Single,Medium,ashleyjimenez@example.net,(586) 657-0192,706.3797978563446
74380177,Richard Hampton,20,Male,0,Master's,Single,Medium,ashleyjimenez@example.net,(586) 657-0192,706.3797978563446
74380177,Richard Hampton,20,Male,0,Master's,Single,Medium,ashleyjimenez@example.net,(586) 657-0192,706.3797978563446
70358012,Abigail Smith,23,Male,2,Doctorate,Single,Medium,michael45@example.com,(517) 730-0655,
83030108,Abigail Hester,40,Female,2,Doctorate,Married,High,pdecker@example.com,(550) 889-6907,817.5411487935804
10944596,Dana Baldwin,57,Female,0,Bachelor's,Single,Low,robertking@example.net,(252) 081-1177,706.3797978563446
10944596,Dana Baldwin,57,Female,0,Bachelor's,Single,Low,robertking@example.net,(252) 081-1177,706.3797978563446
83144359,Tyler Thomas,44,Male,1,Doctorate,Married,Medium,gbrown@example.org,(857) 200-6696,706.3797978563446
83144359,Tyler Thomas,44,Male,1,Doctorate,Married,Medium,gbrown@example.org,(857) 200-6696,706.3797978563446
54595517,Christina Cohen,37,Male,0,High School,Single,Medium,fjenkins@example.com,(472) 992-2415,681.6141206396953
23802184,Kathryn Campbell,61,Female,1,Doctorate,Single,Low,aherrera@example.com,(107) 665-6956,
88501491,Stephanie Ramirez,22,Female,3,High School,Married,High,jeffreyrodriguez@example.org,(032) 407-1341,817.5411487935804
65716448,James Allen,56,Female,1,Doctorate,Married,Medium,kara02@example.net,(658) 652-2715,
79502096,Ashlee George,64,Male,2,Master's,Married,Medium,tracy12@example.net,(320) 387-0861,706.3797978563446
79502096,Ashlee George,64,Male,2,Master's,Married,Medium,tracy12@example.net,(320) 387-0861,706.3797978563446
98556475,Tamara Patterson,62,Male,0,High School,Single,Low,gregorygray@example.net,(091) 402-4730,
44205976,Traci Dyer,24,Female,1,Master's,Single,High,heathervillarreal@example.com,(843) 005-1380,
64687934,Erica Barton,34,Male,3,Master's,Married,Medium,sarahpowell@example.net,(024) 702-3075,706.3797978563446
94526791,Rhonda Herring,61,Female,1,Master's,Married,Medium,hmartinez@example.org,(388) 576-2658,706.3797978563446
94526791,Rhonda Herring,61,Female,1,Master's,Married,Medium,hmartinez@example.org,(388) 576-2658,706.3797978563446
94526791,Rhonda Herring,61,Female,1,Master's,Married,Medium,hmartinez@example.org,(388) 576-2658,706.3797978563446
94526791,Rhonda Herring,61,Female,1,Master's,Married,Medium,hmartinez@example.org,(388) 576-2658,706.3797978563446
94526791,Rhonda Herring,61,Female,1,Master's,Married,Medium,hmartinez@example.org,(388) 576-2658,706.3797978563446
37419007,Leah Anthony,50,Male,0,Bachelor's,Single,High,marshalljulie@example.net,(463) 067-3804,817.5411487935804
37419007,Leah Anthony,50,Male,0,Bachelor's,Single,High,marshalljulie@example.net,(463) 067-3804,817.5411487935804
30044280,Angela Alexander,50,Male,1,Doctorate,Single,Medium,barreradawn@example.com,(188) 859-2639,706.3797978563446
30044280,Angela Alexander,50,Male,1,Doctorate,Single,Medium,barreradawn@example.com,(188) 859-2639,706.3797978563446
78509637,David Goodwin,29,Female,1,Bachelor's,Single,Medium,mark92@example.com,(444) 472-2225,706.3797978563446
38172246,Elizabeth Dickson,53,Female,4,High School,Married,High,matthew75@example.org,(987) 864-9894,706.3797978563446
38172246,Elizabeth Dickson,53,Female,4,High School,Married,High,matthew75@example.org,(987) 864-9894,706.3797978563446
38172246,Elizabeth Dickson,53,Female,4,High School,Married,High,matthew75@example.org,(987) 864-9894,706.3797978563446
43192816,John Evans,67,Male,4,Bachelor's,Married,Medium,griffindaisy@example.org,(321) 230-4357,
81831852,Elizabeth Green,70,Male,0,Master's,Single,Low,devans@example.com,(523) 103-2857,706.3797978563446
81831852,Elizabeth Green,70,Male,0,Master's,Single,Low,devans@example.com,(523) 103-2857,706.3797978563446
92378533,Angela Mitchell,21,Female,1,Doctorate,Single,High,john56@example.org,(419) 056-3986,
14782844,Luke Ramsey,66,Female,2,Master's,Single,Medium,patricia50@example.org,(050) 075-7028,706.3797978563446
78474909,Heather Montes,55,Female,1,Doctorate,Single,High,tstephenson@example.com,(585) 773-1102,817.5411487935804
78474909,Heather Montes,55,Female,1,Doctorate,Single,High,tstephenson@example.com,(585) 773-1102,817.5411487935804
39786766,Lisa Evans,69,Female,4,High School,Married,High,amanda55@example.org,(315) 617-0886,681.6141206396953
39786766,Lisa Evans,69,Female,4,High School,Married,High,amanda55@example.org,(315) 617-0886,681.6141206396953
67148858,Robert Nicholson,30,Male,0,Bachelor's,Single,High,brewermarilyn@example.com,(495) 924-3518,817.5411487935804
67148858,Robert Nicholson,30,Male,0,Bachelor's,Single,High,brewermarilyn@example.com,(495) 924-3518,817.5411487935804
54187238,Nicholas Walsh,43,Female,4,High School,Married,Medium,bakerjeffery@example.org,(148) 996-1702,817.5411487935804
66948117,Xavier Ward,47,Male,1,Bachelor's,Single,Medium,pam51@example.org,(763) 717-8557,817.5411487935804
34495620,Dr. Seth Schneider,59,Male,0,Doctorate,Single,Medium,matthewcastillo@example.org,(130) 260-8996,706.3797978563446
55166840,Anthony Miller,51,Female,2,Bachelor's,Single,High,joel04@example.net,(934) 989-0622,817.5411487935804
55166840,Anthony Miller,51,Female,2,Bachelor's,Single,High,joel04@example.net,(934) 989-0622,817.5411487935804
44819758,Melissa Doyle,48,Male,3,High School,Married,Medium,dparker@example.org,(887) 813-3434,817.5411487935804
44819758,Melissa Doyle,48,Male,3,High School,Married,Medium,dparker@example.org,(887) 813-3434,817.5411487935804
27029683,John Willis,63,Male,3,Bachelor's,Married,Medium,youngjacqueline@example.org,(245) 036-2255,
13171297,Daniel Jackson,41,Female,0,High School,Single,High,walter20@example.net,(315) 041-5711,817.5411487935804
13171297,Daniel Jackson,41,Female,0,High School,Single,High,walter20@example.net,(315) 041-5711,817.5411487935804
87343687,Monica Davis,31,Male,0,High School,Single,Low,douglas41@example.com,(895) 040-2001,817.5411487935804
87343687,Monica Davis,31,Male,0,High School,Single,Low,douglas41@example.com,(895) 040-2001,817.5411487935804
87343687,Monica Davis,31,Male,0,High School,Single,Low,douglas41@example.com,(895) 040-2001,817.5411487935804
11562960,Ashley Oliver,46,Female,1,Bachelor's,Married,High,marnold@example.org,(420) 668-4413,681.6141206396953
11562960,Ashley Oliver,46,Female,1,Bachelor's,Married,High,marnold@example.org,(420) 668-4413,681.6141206396953
77661218,Theresa Sanchez,36,Female,0,Doctorate,Single,Medium,kbutler@example.org,(625) 093-1673,706.3797978563446
77661218,Theresa Sanchez,36,Female,0,Doctorate,Single,Medium,kbutler@example.org,(625) 093-1673,706.3797978563446
77661218,Theresa Sanchez,36,Female,0,Doctorate,Single,Medium,kbutler@example.org,(625) 093-1673,706.3797978563446
77661218,Theresa Sanchez,36,Female,0,Doctorate,Single,Medium,kbutler@example.org,(625) 093-1673,706.3797978563446
71086407,Danielle Rodriguez,59,Female,1,Bachelor's,Married,High,danielgarcia@example.com,(579) 044-4311,681.6141206396953
71086407,Danielle Rodriguez,59,Female,1,Bachelor's,Married,High,danielgarcia@example.com,(579) 044-4311,681.6141206396953
52376617,Travis Park,41,Male,3,Master's,Married,Medium,charles91@example.com,(852) 691-0480,817.5411487935804
55262701,William Vazquez,69,Male,4,Master's,Married,High,michael06@example.com,(230) 525-9181,
67852140,Jody Roberts,29,Male,4,Doctorate,Married,Medium,theresawilliamson@example.com,(778) 137-0555,817.5411487935804
67474077,Brian Burns,26,Female,1,High School,Married,Low,jessegarner@example.org,(105) 652-8442,
75198509,Ralph Allen,40,Male,3,Doctorate,Married,High,ugarcia@example.net,(556) 427-8623,817.5411487935804
26804264,Kelly Pham,41,Female,1,High School,Single,High,janebarrett@example.net,(134) 330-8957,817.5411487935804
26804264,Kelly Pham,41,Female,1,High School,Single,High,janebarrett@example.net,(134) 330-8957,817.5411487935804
30117594,Kimberly Sloan,34,Male,2,Doctorate,Single,High,crawfordanna@example.org,(354) 974-0740,706.3797978563446
30117594,Kimberly Sloan,34,Male,2,Doctorate,Single,High,crawfordanna@example.org,(354) 974-0740,706.3797978563446
51802239,Jose Stewart,20,Female,1,Bachelor's,Married,High,albertpaul@example.com,(889) 758-3645,
41529944,Teresa Pierce,44,Female,1,Doctorate,Single,Low,morrowdanny@example.com,(163) 381-0679,681.6141206396953
36703297,Robert Lee,27,Male,0,High School,Single,Medium,anthonylogan@example.com,(938) 165-8690,
79878106,Matthew Evans,64,Female,1,Master's,Married,Low,grayantonio@example.com,(954) 823-9584,706.3797978563446
79878106,Matthew Evans,64,Female,1,Master's,Married,Low,grayantonio@example.com,(954) 823-9584,706.3797978563446
79878106,Matthew Evans,64,Female,1,Master's,Married,Low,grayantonio@example.com,(954) 823-9584,706.3797978563446
49549954,Robert King,42,Female,2,High School,Single,Medium,thompsonstephen@example.net,(709) 729-6848,706.3797978563446
49549954,Robert King,42,Female,2,High School,Single,Medium,thompsonstephen@example.net,(709) 729-6848,706.3797978563446
70697343,Michael Young,24,Male,4,Doctorate,Married,High,arellanobenjamin@example.com,(150) 495-1926,706.3797978563446
70697343,Michael Young,24,Male,4,Doctorate,Married,High,arellanobenjamin@example.com,(150) 495-1926,706.3797978563446
70697343,Michael Young,24,Male,4,Doctorate,Married,High,arellanobenjamin@example.com,(150) 495-1926,706.3797978563446
58939573,Courtney Ferguson,35,Female,1,Master's,Single,Low,brian80@example.org,(527) 665-4373,
80617475,Krystal Allen,36,Female,2,Doctorate,Married,Medium,shernandez@example.com,(734) 802-0930,
36936826,Joseph Walter,42,Male,4,Doctorate,Married,High,baileynicholas@example.net,(455) 727-0220,
54226736,Anthony Parsons,48,Male,4,Bachelor's,Married,High,danielklein@example.org,(086) 811-8725,706.3797978563446
54226736,Anthony Parsons,48,Male,4,Bachelor's,Married,High,danielklein@example.org,(086) 811-8725,706.3797978563446
54226736,Anthony Parsons,48,Male,4,Bachelor's,Married,High,danielklein@example.org,(086) 811-8725,706.3797978563446
88458046,Jacob Stevens,60,Female,3,High School,Married,Medium,fletcherrobert@example.com,(402) 717-5858,681.6141206396953
12497750,Natasha Conner,24,Female,2,High School,Single,High,rpearson@example.org,(948) 005-7721,
78889130,Christina Martinez,49,Male,1,Doctorate,Married,Medium,bdawson@example.net,(247) 394-2099,817.5411487935804
87046686,Virginia Thompson,42,Male,2,Master's,Married,High,tlee@example.net,(649) 866-4415,817.5411487935804
70914224,Amy Bishop,59,Female,3,Master's,Married,High,jonessean@example.com,(772) 009-0229,706.3797978563446
63025550,Bryan Garcia,29,Male,4,Bachelor's,Married,High,tammybuchanan@example.org,(110) 392-5802,817.5411487935804
63025550,Bryan Garcia,29,Male,4,Bachelor's,Married,High,tammybuchanan@example.org,(110) 392-5802,817.5411487935804
63025550,Bryan Garcia,29,Male,4,Bachelor's,Married,High,tammybuchanan@example.org,(110) 392-5802,817.5411487935804
63025550,Bryan Garcia,29,Male,4,Bachelor's,Married,High,tammybuchanan@example.org,(110) 392-5802,817.5411487935804
50715031,Amanda Thomas,49,Male,0,High School,Single,Medium,shermanerica@example.net,(968) 087-4351,817.5411487935804
69360258,Derek Russo,42,Male,2,Doctorate,Single,High,lorettabrown@example.com,(170) 640-3605,817.5411487935804
69360258,Derek Russo,42,Male,2,Doctorate,Single,High,lorettabrown@example.com,(170) 640-3605,817.5411487935804
69360258,Derek Russo,42,Male,2,Doctorate,Single,High,lorettabrown@example.com,(170) 640-3605,817.5411487935804
84160914,Jeffery Atkinson,38,Male,2,Doctorate,Single,Medium,briannadavidson@example.org,(453) 922-0924,
59953108,Travis Pacheco,64,Female,1,Doctorate,Single,Low,shawnwatson@example.org,(801) 637-2769,
87415725,Shawn Wilcox,48,Male,1,High School,Married,High,cwilliams@example.org,(648) 990-2884,681.6141206396953
87415725,Shawn Wilcox,48,Male,1,High School,Married,High,cwilliams@example.org,(648) 990-2884,681.6141206396953
86655410,Susan Robertson,53,Male,1,High School,Single,Low,yadams@example.org,(086) 573-7197,706.3797978563446
86655410,Susan Robertson,53,Male,1,High School,Single,Low,yadams@example.org,(086) 573-7197,706.3797978563446
86655410,Susan Robertson,53,Male,1,High School,Single,Low,yadams@example.org,(086) 573-7197,706.3797978563446
86655410,Susan Robertson,53,Male,1,High School,Single,Low,yadams@example.org,(086) 573-7197,706.3797978563446
74005361,Brandy Gonzalez,58,Female,4,Bachelor's,Married,High,jennifer44@example.org,(614) 548-1680,817.5411487935804
72989477,Elaine Mcgee,44,Male,1,Master's,Married,Medium,ricepatricia@example.net,(938) 557-5206,706.3797978563446
66777659,Connie Cooper,49,Male,4,Bachelor's,Married,Medium,osalazar@example.net,(682) 359-0738,817.5411487935804
66777659,Connie Cooper,49,Male,4,Bachelor's,Married,Medium,osalazar@example.net,(682) 359-0738,817.5411487935804
18465691,George Silva,48,Female,0,High School,Single,Low,chelseybennett@example.net,(059) 127-1418,706.3797978563446
18465691,George Silva,48,Female,0,High School,Single,Low,chelseybennett@example.net,(059) 127-1418,706.3797978563446
92554290,Melissa Strickland MD,29,Male,2,Doctorate,Married,Medium,lhutchinson@example.net,(883) 297-8596,706.3797978563446
92554290,Melissa Strickland MD,29,Male,2,Doctorate,Married,Medium,lhutchinson@example.net,(883) 297-8596,706.3797978563446
92554290,Melissa Strickland MD,29,Male,2,Doctorate,Married,Medium,lhutchinson@example.net,(883) 297-8596,706.3797978563446
